0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,10-p avg_pollution,10-p utility,10-p inertia,10-p reliability
5,3,0,0,1,1,1,0,1,0,1,6,8,9,5,7,7,6,7,7,7,6,7,1,3,6,6,1,5,2,1,2,7,3,1,4,2,2,3,1,1,7,0,3,2,3,2,0,1,2,0.18267727370811643,0.19144718970361907,0.612244897959184,0.192
0,1,3,0,1,1,0,0,1,0,7,6,4,5,6,7,9,7,7,6,6,6,1,1,0,10,1,5,2,1,2,1,6,2,1,2,9,7,3,3,4,1,7,2,0,2,6,5,1,5,0.1847763364889821,0.1707536041990696,0.612244897959184,0.208
2,1,3,0,0,0,0,0,0,0,0,1,6,2,5,5,6,6,6,0,7,3,4,5,4,0,3,1,3,2,0,2,1,2,0,1,5,4,2,0,3,1,0,2,1,2,1,6,1,5,0.1391779838638846,0.11640852756546462,0.5918367346938779,0.244
7,2,5,0,1,1,1,9,9,9,8,8,9,6,7,9,7,5,5,6,9,7,4,5,5,7,3,4,7,2,1,1,1,1,1,5,1,2,3,5,0,1,2,3,2,0,1,1,2,5,0.20755551938960368,0.2939435271894157,0.6326530612244902,0.136
5,5,1,3,4,9,10,10,9,8,7,7,9,6,7,6,5,5,6,6,6,6,4,6,6,0,3,1,2,2,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,0,1,1,1,2,0.19934424025111958,0.3213338186229965,0.89795918367347,0.10800000000000001
6,1,0,0,1,0,0,0,0,0,3,1,7,5,6,5,6,6,6,1,7,6,4,1,2,0,3,1,2,1,1,0,0,2,0,0,0,3,0,0,7,1,0,1,0,0,1,1,1,6,0.1345176461099959,0.13273585392690246,0.6734693877551025,0.224
6,1,0,0,0,0,0,0,0,0,0,5,4,5,6,6,6,4,5,1,0,2,0,1,3,3,2,2,1,0,0,2,1,2,1,1,1,1,0,1,3,1,0,1,1,0,1,1,2,3,0.11733840916447327,0.11057783152385224,0.8775510204081639,0.224
10,1,1,1,0,1,0,1,7,7,9,7,6,6,6,4,4,7,5,1,1,2,1,1,2,2,1,1,2,1,1,1,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0.14590087368455962,0.19384652806463062,0.8775510204081639,0.15600000000000003
7,2,1,0,1,1,0,3,0,5,7,7,7,6,7,6,6,7,7,4,6,9,7,1,2,3,1,2,1,6,6,2,6,0,1,1,1,6,2,3,1,1,1,1,1,2,1,1,1,2,0.17906281586627973,0.21286647536966596,0.7142857142857147,0.17600000000000002
2,2,1,0,0,0,0,0,0,0,4,6,5,6,5,6,7,7,8,7,1,1,3,3,1,0,3,1,1,1,0,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,5,0.14056550888223,0.13166610050884744,0.9183673469387762,0.216
2,1,1,0,0,0,1,0,0,0,0,1,2,6,8,6,5,1,7,0,1,3,4,1,6,2,2,2,5,1,1,1,0,1,1,1,3,1,3,1,3,1,1,1,1,0,1,0,1,1,0.12470399447931857,0.1013163863276644,0.7755102040816332,0.244
6,3,2,0,0,0,0,0,3,7,7,6,9,6,6,6,6,6,4,6,6,6,4,6,6,1,3,1,1,1,1,2,1,2,1,1,1,2,2,1,0,1,0,1,1,2,1,1,2,1,0.16918003337347845,0.20283582337008188,0.8571428571428578,0.17600000000000002
5,1,2,1,0,5,4,6,10,8,6,9,9,10,7,7,5,9,9,6,5,7,9,6,4,7,4,6,6,0,9,1,6,4,4,10,10,2,6,7,1,1,3,3,1,1,1,7,2,4,0.24996841967631236,0.31158902925477444,0.48979591836734715,0.136
5,1,0,0,0,2,1,0,3,10,6,4,9,7,10,6,5,6,6,6,6,5,7,1,2,2,5,1,2,6,7,5,6,5,1,2,1,0,3,1,1,1,0,1,1,1,6,0,7,2,0.18651981905990347,0.2130612577532362,0.5918367346938779,0.188
3,1,1,0,0,0,0,3,0,9,7,6,9,9,8,9,6,5,6,8,7,0,1,1,5,4,1,1,2,1,0,3,1,0,1,0,6,2,0,1,3,1,0,0,1,0,3,1,3,2,0.1697197187930227,0.19022674642631926,0.7142857142857147,0.188
10,2,0,0,0,0,0,0,0,0,4,6,6,6,7,6,4,6,4,1,0,6,1,1,1,3,6,1,1,1,2,3,1,2,1,1,1,1,0,1,1,1,3,1,0,1,0,1,1,1,0.13681826875944156,0.15326126033600934,0.8367346938775516,0.20400000000000001
7,1,0,0,0,1,0,0,0,0,1,5,5,7,1,6,5,5,7,7,1,4,3,6,5,2,1,1,2,1,3,1,1,1,3,1,2,2,1,1,1,1,0,6,1,3,1,2,1,2,0.14607967476787623,0.14063563192981934,0.755102040816327,0.224
5,1,0,0,0,1,1,0,0,6,7,6,6,7,6,6,5,9,7,7,7,1,0,1,1,3,1,1,2,2,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,2,6,0.14982114926692044,0.1660398667464304,0.8775510204081639,0.196
5,5,0,0,0,0,1,0,6,6,8,10,5,6,10,9,7,5,7,1,6,6,6,1,1,3,2,1,5,1,0,1,1,2,0,1,2,0,0,0,0,0,1,1,1,0,1,0,1,3,0.16751740621980793,0.21177432090085815,0.6938775510204086,0.17600000000000002
5,3,0,0,1,0,1,0,1,0,0,6,8,9,7,6,7,1,4,7,7,6,7,1,0,3,6,1,6,1,0,2,7,3,1,7,2,1,3,1,1,6,0,3,1,0,3,0,1,1,0.1714820949896642,0.17249586471089487,0.5306122448979594,0.20400000000000001
3,3,1,0,1,0,2,0,0,9,7,7,6,6,4,6,4,5,4,5,6,6,7,2,1,2,2,2,2,1,0,1,1,1,0,1,2,2,0,0,0,1,1,1,1,1,1,0,1,1,0.15503814196134275,0.17491759194833173,0.89795918367347,0.17600000000000002
3,2,1,0,1,0,1,0,0,0,4,6,6,6,6,6,4,6,9,7,7,0,0,0,1,1,1,1,2,1,0,0,0,1,0,1,1,3,1,1,1,1,0,1,1,2,1,0,1,2,0.13621143708679348,0.1379006572983087,0.9387755102040823,0.20400000000000001
6,2,0,0,0,0,0,0,0,0,6,5,4,6,7,6,4,6,7,6,0,7,0,1,1,3,2,1,2,1,0,2,1,0,0,1,1,1,0,3,2,2,0,0,0,0,1,0,1,5,0.13744157701353715,0.14068483891893693,0.7959183673469393,0.216
4,3,0,0,0,0,0,0,0,7,7,8,5,6,7,6,7,6,5,6,6,4,7,6,3,0,1,2,2,1,1,4,2,0,1,1,2,3,3,0,2,1,0,1,1,2,1,1,6,3,0.16770729397469727,0.1819275387243658,0.7346938775510209,0.196
5,0,1,1,0,1,0,0,1,0,1,4,1,6,7,6,4,6,4,6,6,4,1,1,1,1,3,1,2,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,2,0.12173422684111807,0.12000976413576162,0.89795918367347,0.224
5,6,6,5,6,7,8,7,6,7,6,7,7,6,4,5,4,5,6,5,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,0,1,2,1,1,5,2,1,0.17530289649123215,0.29145936261930655,0.9387755102040823,0.08
10,5,0,0,0,1,0,6,6,7,7,7,1,1,4,6,4,5,6,1,0,1,0,1,1,0,1,1,2,1,0,0,0,1,0,0,1,2,3,1,0,0,0,1,1,0,0,1,1,2,0.12903712489868924,0.1836319372225515,0.8775510204081639,0.136
9,6,2,3,1,5,10,9,9,10,9,9,5,6,5,6,4,5,5,4,6,6,0,1,2,3,0,1,0,1,0,0,0,1,1,0,0,2,0,0,1,0,0,1,1,1,1,1,2,2,0.1790598578445444,0.30276225518108724,0.8163265306122455,0.09600000000000002
2,1,0,0,1,0,0,0,0,0,7,7,7,6,7,6,6,9,7,7,7,6,7,1,3,1,1,1,6,1,0,1,7,3,1,0,2,1,3,1,0,1,0,2,1,0,3,1,1,1,0.16622269687140032,0.16250490722943087,0.7959183673469393,0.216
9,3,1,0,0,0,0,6,6,7,7,7,5,6,4,6,4,6,5,6,7,4,6,1,1,2,1,1,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0.1577392867135978,0.2110019541475052,0.89795918367347,0.15600000000000003
4,0,2,0,0,0,1,6,9,10,9,9,10,9,6,6,7,6,5,7,7,7,0,6,3,7,2,2,2,1,2,3,7,1,1,0,1,2,2,1,1,1,0,2,1,2,1,0,3,3,0.19237120957316825,0.24783665950926992,0.6734693877551025,0.168
4,3,0,1,0,0,1,0,0,1,0,7,7,5,4,5,4,5,5,1,1,0,0,0,1,1,1,1,2,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,2,3,0.1123753114599803,0.1130123523178165,0.9183673469387762,0.216
2,2,0,1,0,0,0,0,0,0,0,7,7,6,4,5,6,6,7,0,0,0,0,1,1,3,2,1,1,1,2,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0.11523487393286751,0.10576339478286836,0.9183673469387762,0.236
1,1,1,0,0,0,0,0,0,1,0,0,6,6,5,6,4,6,6,1,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,0,0,1,3,1,3,1,1,0,1,1,1,2,0.106046638584659,0.082119318576222,0.9387755102040823,0.244
10,2,0,0,0,1,3,2,6,6,7,6,6,6,6,5,6,1,3,1,1,1,2,2,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,3,2,0.13229155037718085,0.18086357910767856,0.9183673469387762,0.15600000000000003
2,1,0,0,0,0,0,0,0,0,5,6,6,5,7,6,6,7,7,7,0,6,6,1,1,6,1,1,1,1,1,1,1,0,1,0,2,1,0,1,0,0,0,2,1,3,1,1,4,2,0.14753433378399708,0.13378708402277267,0.7755102040816332,0.22799999999999998
10,6,0,0,1,10,9,9,9,8,8,9,9,5,6,6,5,5,6,6,1,1,3,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,2,0.1751623756109003,0.29752364232388845,0.8775510204081639,0.10800000000000001
2,2,0,1,0,0,0,0,0,0,7,7,7,6,7,6,6,9,7,7,7,6,7,1,3,2,1,1,1,1,3,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0.15583733803824704,0.15870037319142932,0.89795918367347,0.216
5,6,4,4,9,9,10,10,7,9,7,8,9,6,6,5,5,6,6,6,5,4,3,1,2,6,2,1,2,1,1,1,1,1,2,1,1,0,0,1,1,1,1,0,1,1,1,1,1,3,0.19882975765669952,0.3436045697250641,0.89795918367347,0.08800000000000001
10,2,1,0,1,2,3,1,2,7,7,6,6,6,6,6,5,6,6,5,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0.14229390151727267,0.19215728006959576,0.9387755102040823,0.14400000000000002
10,7,6,7,9,9,10,10,9,9,7,8,9,6,6,6,7,6,6,6,6,6,6,6,6,4,3,2,2,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,3,1,3,1,3,0.23057276385282557,0.4066347267159392,0.9591836734693885,0.068
5,5,1,7,8,9,10,9,9,9,8,7,9,9,5,5,5,6,5,6,7,6,7,6,7,4,3,2,1,1,0,1,1,1,2,1,2,2,1,1,1,0,0,0,1,0,1,3,1,2,0.21739890767607228,0.3566711186651015,0.9183673469387762,0.08800000000000001
9,6,4,3,10,9,10,9,9,8,7,7,6,6,7,6,6,5,6,7,6,6,6,1,1,1,2,1,2,1,1,1,1,2,2,1,0,1,1,1,0,0,1,2,1,0,1,1,1,2,0.19960862305162674,0.3578430347839626,0.9387755102040823,0.08
6,1,1,0,0,1,1,1,6,7,6,6,6,6,6,5,5,5,6,3,7,2,2,1,1,3,2,1,1,1,3,1,2,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,2,0.15218467916187736,0.1804508072201994,0.8775510204081639,0.17600000000000002
10,1,3,3,0,1,10,9,8,9,7,7,9,9,6,6,4,4,5,6,7,6,7,1,2,1,1,1,0,1,2,2,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,2,0.1805176520981589,0.2879281338213088,0.89795918367347,0.11600000000000002
10,5,6,0,9,9,10,9,9,8,7,8,7,6,5,6,7,6,5,6,6,6,4,1,1,1,7,1,1,1,0,2,1,2,1,0,1,0,3,1,1,0,1,0,1,1,1,0,1,2,0.19898908040690702,0.3538512239021141,0.8367346938775516,0.08800000000000001
10,6,1,6,10,10,9,9,9,10,8,8,9,9,9,6,6,10,6,6,6,7,7,7,5,6,4,6,1,1,7,7,6,2,1,3,1,5,0,4,3,0,0,5,6,2,6,5,6,4,0.277307668541341,0.424653556081954,0.612244897959184,0.08
5,1,0,0,0,0,0,0,0,1,6,8,7,5,6,5,6,6,7,1,3,0,0,1,1,1,1,1,2,1,0,1,1,1,1,0,1,1,0,0,0,2,0,0,1,0,1,1,1,1,0.12565539672351356,0.13087449512475882,0.8367346938775516,0.216
6,1,0,0,2,2,2,3,9,9,8,6,7,9,8,8,6,6,6,6,6,7,7,5,5,4,2,1,6,1,1,1,7,1,0,0,1,2,1,0,0,1,1,2,7,3,1,0,0,3,0.19288551314604135,0.25304811766020435,0.7142857142857147,0.15600000000000003
4,1,0,0,0,1,0,0,0,0,1,1,5,1,7,6,6,6,7,1,0,0,1,1,1,0,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0.10308596278311383,0.09247280296876122,0.89795918367347,0.232
6,1,0,0,0,0,0,0,0,0,0,0,6,6,6,9,7,2,7,7,0,0,0,1,7,1,1,1,2,1,1,2,1,2,1,1,1,1,0,0,0,0,0,2,0,0,1,0,1,2,0.12555827304502767,0.11696613463968512,0.7959183673469393,0.236
2,1,1,0,0,0,0,0,0,0,1,6,6,6,6,6,4,5,7,6,1,3,6,1,5,2,1,1,2,1,1,1,1,1,0,1,1,2,3,0,1,0,0,3,0,0,0,0,1,2,0.13534109067513544,0.12137603663319357,0.7959183673469393,0.236
2,2,2,2,3,2,1,10,9,9,8,9,9,9,6,10,7,6,4,5,5,6,7,6,4,6,5,1,6,6,7,2,5,1,2,1,2,1,3,7,1,1,1,2,1,3,1,5,1,4,0.22183692887292794,0.29121173367443476,0.7142857142857147,0.14800000000000002
10,2,1,1,0,1,9,10,9,9,9,6,6,6,6,9,7,6,5,6,5,6,6,2,7,6,1,2,2,1,0,2,1,0,1,2,0,1,0,1,1,1,1,0,1,0,1,2,1,2,0.18962651103143016,0.2909991045674788,0.8163265306122455,0.12800000000000003
1,1,0,0,0,0,0,0,0,1,0,0,5,6,4,6,4,6,7,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,2,1,1,1,1,1,2,0.09913103837023603,0.07525855663159069,0.9387755102040823,0.256
9,10,0,0,10,10,9,10,9,10,7,9,9,10,6,8,7,6,6,5,6,6,7,6,7,7,5,1,5,1,6,5,6,2,1,1,1,2,3,1,0,1,1,0,1,5,1,3,2,1,0.24850252329273492,0.4023267264202774,0.7346938775510209,0.08800000000000001
