0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,avg avg_pollution,avg utility,avg inertia,avg reliability
9,7,4,4,0,1,1,0,1,5,7,6,2,3,0,5,6,5,6,4,5,6,4,5,6,4,5,6,5,6,5,6,6,5,6,6,6,6,6,7,9,7,7,7,9,8,7,8,9,9,1.9919636992599399,0.44059678398321933,0.8571428571428578,0.6008000000000002
10,10,9,0,6,5,6,7,6,6,0,1,10,6,4,6,6,5,5,4,5,6,7,6,7,6,5,6,6,6,6,6,6,5,5,9,7,9,6,7,7,7,7,8,8,9,7,7,6,9,2.401877414130624,0.5700791942164823,0.8367346938775516,0.5200000000000001
9,5,1,0,1,1,2,2,1,2,3,2,7,4,0,1,6,0,4,5,4,6,6,5,6,5,6,5,4,5,6,7,6,5,1,6,7,6,6,6,6,7,7,9,9,9,7,8,9,9,1.789681523107438,0.3810184849472972,0.7959183673469393,0.6400000000000002
10,8,1,0,1,2,1,3,1,5,1,1,5,6,4,6,6,5,5,5,6,5,5,6,7,6,6,6,6,6,6,6,6,5,6,6,7,6,6,7,6,7,7,6,7,9,7,9,8,9,2.009742575756702,0.44500306253238137,0.8979591836734702,0.5888000000000001
10,9,0,1,0,1,2,1,2,1,1,7,6,7,0,3,6,5,4,5,6,6,4,6,7,7,4,6,6,5,6,6,6,6,6,6,7,6,7,7,9,8,7,9,8,9,8,9,9,9,1.9765202820633772,0.4419888324740806,0.8775510204081638,0.5944000000000002
10,10,1,1,1,1,3,6,6,5,6,5,6,5,4,5,5,5,5,4,6,7,6,5,6,6,5,6,5,6,7,7,6,5,6,6,7,6,6,7,6,7,7,7,9,9,8,7,9,9,2.2035244571827444,0.5049642200575996,0.9591836734693885,0.5568000000000002
10,9,9,7,6,5,6,5,6,6,6,6,7,6,6,6,6,6,7,7,6,6,7,7,6,4,4,6,6,6,7,6,5,6,7,9,7,9,7,7,9,7,7,8,8,8,8,9,8,9,2.591083579457147,0.6304945945251827,1.0000000000000007,0.46960000000000013
10,9,1,3,3,2,2,2,6,6,6,6,5,5,6,7,6,6,6,4,6,5,4,6,6,6,4,6,6,6,7,6,6,7,8,9,7,6,7,7,9,7,7,8,9,9,7,7,9,9,2.2591592315963824,0.5269566331317744,0.9591836734693885,0.5400000000000001
9,6,2,3,1,0,1,0,1,3,1,1,1,2,1,3,6,4,2,6,4,6,4,5,4,6,6,5,1,5,5,6,5,5,6,7,6,7,6,6,7,7,7,8,9,9,8,9,9,10,1.7557960662234573,0.37088379254731996,0.8571428571428578,0.6400000000000002
10,5,6,0,1,3,1,1,1,0,4,6,5,5,5,5,6,4,5,5,5,5,5,4,4,7,4,5,5,5,7,6,1,5,6,7,7,7,7,6,8,7,8,9,7,9,8,9,10,10,1.9792496697250983,0.4419649998822123,0.8163265306122455,0.6016000000000001
10,9,8,7,6,7,3,4,5,4,6,4,5,4,6,5,6,6,6,4,5,6,6,5,6,7,7,6,6,6,7,6,6,6,6,6,7,9,7,7,9,7,7,7,8,9,7,8,9,10,2.459231182644698,0.5860169551570267,0.9795918367346946,0.5048000000000001
9,9,5,0,1,2,6,4,6,1,0,4,5,5,4,6,4,6,6,5,4,6,5,5,0,6,4,5,0,5,6,6,5,5,6,6,7,9,7,6,6,8,8,9,8,9,7,8,9,9,2.0619901955165107,0.4619759339795973,0.7959183673469393,0.5920000000000002
9,7,1,0,1,0,1,1,1,1,2,3,1,1,1,2,1,2,6,4,5,1,0,1,1,3,1,5,5,6,6,6,6,7,7,6,6,6,7,7,7,7,7,8,9,9,8,9,9,10,1.5970533672672886,0.325080186844263,0.9183673469387762,0.6656000000000003
10,4,1,0,1,1,1,0,1,0,1,3,1,0,1,2,1,2,2,7,6,5,6,6,6,4,6,5,4,7,6,6,5,5,5,6,7,6,4,7,7,7,7,9,9,9,8,9,9,10,1.6797377327210776,0.3460554253037232,0.8979591836734702,0.6488000000000003
10,5,5,6,3,1,2,4,6,6,6,6,6,4,7,5,5,5,1,4,5,6,5,6,5,6,5,5,6,6,6,6,6,6,6,6,7,9,7,7,9,7,7,9,9,9,8,7,9,9,2.224693228870797,0.5200225716604473,0.8571428571428578,0.5568000000000002
10,0,1,0,1,0,1,0,2,2,3,2,1,1,1,2,2,2,3,2,1,0,1,1,3,6,6,5,5,5,6,6,5,5,6,5,6,6,7,7,6,7,7,9,9,9,8,9,10,10,1.5094262404160488,0.2985940815607772,0.9387755102040823,0.6808000000000003
9,5,2,0,0,1,1,2,1,1,2,6,6,6,6,4,6,5,6,4,4,6,7,0,1,5,5,6,5,5,6,5,6,7,7,1,7,6,6,6,9,7,7,8,9,9,8,9,10,9,1.8881684361407125,0.41081787960946414,0.8163265306122455,0.6208000000000002
10,9,1,3,1,2,5,2,5,6,6,6,6,5,4,3,5,5,6,4,6,5,4,6,6,6,4,6,5,6,7,6,6,6,6,9,7,8,7,7,9,8,7,9,8,9,8,8,9,10,2.189442265365298,0.511843192348977,0.8775510204081638,0.5584000000000002
10,9,2,0,1,2,1,2,1,6,7,6,4,6,5,5,6,5,6,4,5,6,4,6,4,6,6,5,4,5,6,4,6,6,6,6,6,6,7,7,9,6,7,8,8,9,8,8,8,9,2.089256269088246,0.46995669430730325,0.9183673469387762,0.5800000000000002
9,10,1,1,3,1,1,2,1,0,0,3,2,6,5,5,6,2,2,2,6,6,5,6,7,4,6,6,5,5,6,6,5,6,7,7,7,6,7,7,6,7,7,9,9,9,8,9,9,10,1.9343940740658625,0.42173829246094663,0.8775510204081638,0.6040000000000002
10,6,1,0,1,1,5,2,2,0,6,1,6,5,1,3,6,5,6,4,6,5,5,6,6,4,6,5,5,6,7,6,5,5,6,6,7,9,7,7,9,8,9,9,8,9,8,8,9,10,1.9600046791218881,0.4402015221297079,0.7959183673469393,0.6016000000000001
10,10,2,1,0,0,0,1,1,1,0,1,1,1,1,2,5,4,6,4,5,6,6,6,5,6,6,7,4,6,6,6,6,5,6,7,7,9,7,7,6,8,8,9,8,9,8,8,9,9,1.8413059105170109,0.39347769936961335,0.9183673469387762,0.6128000000000002
10,9,1,0,1,3,2,2,6,6,1,5,1,5,4,6,1,5,6,4,5,6,6,1,9,4,4,5,5,6,4,6,6,5,7,6,7,6,7,7,9,7,7,8,9,9,8,9,10,9,2.008394645531483,0.45270846161239026,0.7551020408163269,0.6000000000000001
10,6,2,0,1,1,0,0,1,1,1,5,6,6,4,2,1,1,6,5,5,6,0,6,7,4,6,6,5,5,6,6,6,4,5,6,6,6,7,6,7,7,7,9,8,9,8,9,10,10,1.8174817753747918,0.39051093964687916,0.8163265306122455,0.6320000000000001
10,5,0,0,0,0,0,0,0,1,1,2,1,1,1,3,1,1,3,5,6,0,3,1,1,0,1,1,6,6,6,5,5,5,7,6,7,1,7,7,9,4,7,8,9,9,7,9,10,10,1.4295002477954941,0.28168449235174636,0.7755102040816333,0.7032000000000003
10,6,1,0,0,1,0,3,1,1,7,0,1,0,3,2,1,2,2,2,1,1,5,1,0,5,1,1,3,7,6,6,3,2,6,7,6,6,6,0,5,8,7,9,9,9,8,9,9,10,1.520340862940075,0.30095857526123465,0.6734693877551023,0.6904000000000002
10,10,1,1,0,1,1,1,1,6,7,6,4,6,6,5,6,5,3,5,4,6,4,7,6,4,6,6,5,6,6,6,7,6,0,9,7,6,7,7,6,7,9,9,9,9,8,9,9,10,2.072684053195064,0.4718114603773714,0.8571428571428578,0.5800000000000002
10,6,4,1,0,0,1,0,1,3,7,1,1,1,1,2,1,1,1,2,2,1,3,1,1,6,6,5,4,6,6,5,5,5,5,5,6,6,7,7,6,7,7,9,9,9,8,8,9,9,1.6352664214294703,0.3316164052325945,0.8979591836734702,0.6640000000000001
9,0,1,0,0,1,1,0,1,1,1,1,1,0,1,2,1,2,2,2,2,1,1,1,1,3,1,1,5,5,6,7,6,6,6,6,7,6,7,7,7,7,7,8,9,9,8,8,10,10,1.3762733847346516,0.26149906311460974,0.9387755102040823,0.6992000000000003
10,10,1,0,1,1,1,1,6,4,6,6,6,6,7,5,2,6,6,4,6,6,7,6,1,4,0,6,5,6,7,6,5,6,7,6,7,9,7,7,9,9,7,8,8,9,7,9,10,10,2.0916989551634213,0.48086245720239407,0.8163265306122455,0.5808000000000002
10,9,6,7,6,6,6,4,6,7,6,6,6,6,6,6,6,6,7,7,6,6,7,6,7,7,7,6,6,6,6,7,6,6,7,9,7,9,7,8,9,8,7,8,7,9,8,7,9,10,2.5824139246704347,0.6324426685622696,0.9795918367346946,0.4704000000000002
