0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,avg avg_pollution,avg utility,avg inertia,avg reliability
5,6,6,7,7,1,0,1,0,1,6,7,6,6,6,7,7,7,6,7,4,6,5,5,4,5,6,6,6,4,6,6,6,6,7,7,6,6,6,6,6,6,6,6,7,9,9,10,10,9,2.213500452096527,0.49582157963350687,0.9387755102040823,0.5472000000000001
9,7,6,3,0,1,0,1,1,1,7,7,5,6,6,6,6,7,6,6,5,4,6,5,5,4,4,6,4,4,6,6,6,7,7,7,6,6,6,6,5,6,6,6,7,9,10,9,9,9,2.095071343935226,0.4679582952970264,0.9183673469387762,0.5768000000000002
9,0,0,0,0,1,0,1,1,1,2,3,2,1,2,3,1,1,6,6,4,5,5,6,4,4,5,5,6,5,5,6,5,4,7,5,6,7,7,7,6,6,6,6,7,8,9,10,10,10,1.616494526232271,0.32419550316354245,0.9183673469387762,0.6624000000000003
9,7,0,6,7,6,7,6,6,6,6,7,6,6,4,6,7,7,6,6,5,5,6,4,5,5,6,5,6,4,5,6,6,6,7,7,6,6,5,6,7,6,7,7,8,9,9,10,10,9,2.4368231325756153,0.567786662805996,0.9591836734693885,0.5048000000000001
10,0,0,0,0,1,3,1,1,1,2,4,2,2,3,4,6,6,6,5,4,5,6,6,5,4,5,6,6,5,6,6,5,5,6,4,6,7,7,7,6,6,6,6,7,9,9,9,9,10,1.7739350064251036,0.370931623610388,0.9387755102040823,0.6360000000000002
9,9,1,0,1,1,1,1,3,5,1,1,7,7,7,7,6,6,6,6,6,5,5,6,7,4,4,6,6,6,6,6,6,6,7,7,9,10,9,9,9,9,9,9,8,9,9,9,10,9,2.1137210668812125,0.486989213729577,0.8979591836734702,0.5584000000000002
9,7,3,1,1,1,1,1,1,1,1,7,7,6,6,5,6,1,2,6,2,4,6,6,4,4,4,5,6,4,6,6,6,6,6,4,6,6,6,4,4,5,9,8,7,9,10,9,10,9,1.9119819646075322,0.4136465240106132,0.8571428571428578,0.6200000000000001
10,9,0,1,1,1,3,2,7,6,6,7,6,5,4,5,7,6,5,1,4,5,5,5,4,4,4,6,5,5,6,5,5,5,4,6,7,6,7,8,7,7,6,8,8,9,9,9,10,9,2.0929006270648576,0.4760783868105461,0.8775510204081638,0.5848000000000002
10,9,7,6,7,6,4,6,1,6,4,6,6,4,5,6,7,6,6,5,5,5,5,5,4,5,5,6,6,5,5,6,6,6,7,6,5,9,4,6,6,6,6,7,8,9,9,10,10,9,2.414291395997692,0.5643668418631477,0.9183673469387762,0.5208000000000002
10,6,0,1,1,0,0,1,0,1,0,0,4,5,4,7,6,5,5,5,6,5,4,4,5,4,5,5,6,5,6,5,6,6,7,6,5,5,6,7,6,6,4,9,7,9,9,10,9,9,1.8092025858500975,0.38330812069253556,0.8979591836734702,0.6288000000000002
9,9,0,1,3,1,1,6,3,4,5,6,6,4,6,4,2,6,4,5,4,4,5,4,4,4,4,6,6,5,6,6,6,6,7,7,6,6,7,7,6,6,5,6,8,9,9,10,9,9,2.0476279196369833,0.4566837635724232,0.8775510204081638,0.5904000000000003
9,4,0,1,1,1,1,1,1,1,2,5,5,6,4,1,6,6,6,6,4,6,4,6,4,4,5,6,6,5,6,4,5,7,6,4,6,7,6,6,6,6,7,9,8,8,9,10,10,9,1.8607972852521204,0.39923728793130264,0.8775510204081638,0.6216000000000002
10,9,0,0,0,1,0,1,0,0,1,2,4,4,4,3,4,5,4,2,6,5,5,5,5,4,4,5,5,5,6,7,6,5,6,7,6,5,6,6,9,7,8,8,7,9,9,8,10,9,1.7831167946032542,0.38056730003039874,0.8775510204081638,0.6368000000000003
9,9,1,1,1,6,4,1,4,4,0,1,6,5,5,4,7,6,6,6,6,4,5,4,4,5,6,5,5,4,6,6,6,5,7,7,9,9,6,6,10,9,9,9,8,9,10,10,10,10,2.0795426516759696,0.48083052784460084,0.7959183673469393,0.5776000000000002
10,9,1,1,0,1,3,1,6,6,2,3,2,4,6,7,6,6,1,7,5,5,5,6,4,6,4,5,6,4,6,5,5,5,6,6,7,6,7,7,10,9,9,9,8,9,9,9,10,10,2.0286760103806203,0.46352579302909086,0.8367346938775516,0.5904000000000003
