0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,10-p upstream_flooding,10-p water_demand
4,9,5,5,10,7,7,6,7,3,5,5,6,6,7,5,6,5,10,6,6,6,6,5,9,8,6,5,4,7,6,5,5,9,5,4,6,8,5,6,5,4,6,6,10,5,5,5,7,6,5,9,7,8,5,4,5,6,5,9,4,9,4,5,4,4,5,6,10,6,6,4,6,4,4,6,4,7,7,7,6,6,10,6,4,7,7,6,6,6,6,5,5,7,7,8,9,5,5,7,-3.5836340152960564,-10.558104330570439
7,10,9,5,9,7,6,5,10,3,6,6,7,7,6,4,6,6,10,6,5,7,6,10,6,7,9,5,6,7,5,5,7,7,5,5,7,6,10,5,5,6,6,5,6,5,5,5,7,6,6,8,7,7,5,7,5,5,5,9,7,6,5,6,6,4,5,7,10,5,6,4,6,6,4,6,6,7,6,4,6,5,5,6,5,7,7,6,8,6,6,7,5,4,6,9,9,5,6,7,-2.795591490271095,-10.594361554077016
7,5,5,5,5,7,7,5,5,4,5,5,7,4,7,4,6,5,6,6,6,5,7,5,6,6,5,5,6,7,6,5,7,9,5,7,7,5,5,5,5,6,4,6,6,6,5,6,6,6,6,9,6,4,6,6,6,5,6,9,4,9,5,5,6,5,5,6,5,6,6,5,6,6,5,6,7,6,6,7,6,5,10,4,4,7,5,5,6,6,6,6,5,6,5,6,9,5,5,7,-5.39094563819822,-10.256946308940455
10,10,9,5,9,7,6,4,10,4,6,5,6,7,6,4,6,5,10,6,6,6,6,10,5,6,9,10,6,7,7,6,7,7,5,4,7,6,10,5,5,6,7,5,5,6,5,6,6,9,6,9,7,7,5,7,5,5,5,9,7,9,5,5,9,10,5,6,10,5,6,4,6,6,5,6,6,7,6,7,6,5,5,6,5,7,7,6,9,6,6,7,5,8,6,9,8,5,7,6,-1.9949699995470667,-10.686843564318732
10,10,9,5,9,7,6,4,10,4,6,5,6,7,6,4,6,5,10,6,6,6,6,10,5,6,9,10,6,7,7,6,7,7,5,4,7,6,10,5,5,6,7,5,5,6,5,6,6,9,6,9,7,7,5,7,5,5,5,9,7,9,5,5,8,10,5,6,10,5,6,4,6,6,5,6,6,7,6,7,6,5,5,6,5,7,7,6,9,6,6,7,5,8,6,9,8,5,7,7,-1.9028604702678178,-11.01860713947406
10,10,9,5,9,7,6,5,10,4,6,5,6,7,6,4,6,5,10,6,6,6,7,10,5,6,9,10,6,6,7,6,7,7,5,5,7,7,10,5,5,6,7,5,5,6,5,6,7,9,6,9,7,7,6,7,5,5,5,9,7,9,5,5,9,10,5,6,10,5,6,4,6,6,5,6,7,7,6,7,6,5,5,6,5,7,7,6,9,6,6,7,5,8,6,9,8,5,7,7,-1.8090024789114585,-11.103413313488154
10,10,9,5,9,7,6,4,10,4,6,5,6,7,6,4,6,5,10,6,6,6,6,10,5,6,9,10,6,7,7,6,7,7,5,4,7,6,10,5,5,6,7,5,5,6,5,6,6,9,6,9,7,7,5,7,4,5,5,4,7,9,5,5,9,10,5,6,10,5,6,4,6,6,5,6,6,7,6,7,6,5,5,6,5,7,7,6,9,6,6,7,5,8,6,9,8,5,7,7,-1.8970283264702414,-11.07610951869237
7,5,5,5,9,7,7,5,10,4,5,5,7,7,7,4,6,5,9,6,6,5,6,10,5,6,6,5,6,7,6,5,7,6,5,4,7,5,5,5,5,6,7,6,5,6,5,6,6,9,6,9,7,7,5,6,5,5,5,9,4,9,5,5,9,10,5,6,5,6,6,4,6,6,5,6,6,6,6,7,6,5,5,6,5,7,5,6,6,6,6,7,5,8,5,9,8,5,5,7,-4.273872576769808,-10.468897368537785
6,5,6,5,5,7,7,4,10,4,5,5,9,7,7,4,6,5,9,5,6,7,7,5,6,6,6,5,7,7,6,6,7,6,5,7,7,6,10,5,5,6,7,5,6,6,5,6,6,6,6,9,6,4,6,7,6,5,6,9,7,9,5,5,9,5,5,6,5,5,6,4,6,6,5,6,6,7,6,7,6,5,5,4,4,7,6,6,9,6,6,7,5,6,5,9,8,5,7,7,-5.064088346158732,-10.39305552754891
10,10,9,5,9,7,6,4,10,4,6,5,6,7,6,4,6,5,10,6,6,6,6,10,5,6,9,10,6,7,7,6,7,7,5,4,7,6,10,5,5,6,7,5,5,6,5,6,6,9,6,9,7,7,5,7,5,5,5,5,7,9,5,5,9,10,5,6,10,5,6,4,6,6,5,6,6,7,6,7,6,5,5,6,5,7,7,6,9,6,6,7,5,8,6,9,8,5,7,7,-2.30065389276015,-10.65770062325537
10,10,9,5,9,7,6,5,10,4,6,5,6,7,6,4,6,5,10,6,6,6,7,10,5,6,9,10,6,6,7,6,7,7,5,5,7,6,10,5,5,6,7,5,5,6,5,6,6,9,6,9,7,7,5,7,5,5,5,9,7,9,5,5,9,10,5,6,10,5,6,4,6,6,5,6,6,7,6,7,6,5,5,6,5,7,7,6,9,6,6,7,5,8,6,9,8,5,7,7,-1.7380240046120052,-11.580611625727226
10,10,9,5,9,7,6,4,10,4,6,5,6,7,6,4,6,5,10,6,6,6,6,10,5,6,9,10,6,7,7,6,7,7,5,4,7,6,10,5,5,6,7,5,5,6,5,6,6,9,6,9,7,7,5,7,5,5,5,9,7,9,5,5,9,10,5,6,10,5,6,4,6,6,5,6,6,7,6,7,6,5,5,6,5,4,7,6,6,6,6,7,5,8,7,9,8,5,7,7,-1.7419839219212678,-11.372625101007856
