0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg avg_pollution,avg utility,avg inertia,avg reliability
10,7,9,9,5,6,5,4,6,4,5,6,5,4,5,6,2,2,2,7,5,4,5,6,5,4,3,4,5,4,5,4,5,6,4,6,1,3,2,6,4,5,5,4,1,4,5,5,7,6,4,5,4,6,2,7,4,4,6,4,5,5,6,5,4,4,5,5,4,5,4,5,9,4,5,6,6,5,6,5,4,3,1,3,6,7,6,4,6,4,6,7,6,5,6,4,5,5,5,6,2.73677492717519,0.6004420971061074,0.838383838383837,0.5168000000000003
9,7,6,4,4,1,6,3,6,4,5,5,5,4,5,6,1,2,2,3,4,4,4,4,2,4,3,4,5,4,4,4,5,6,4,1,2,1,2,5,5,5,2,5,5,4,5,4,6,3,4,5,4,6,5,4,4,4,6,3,4,5,6,5,4,5,2,3,5,5,5,2,6,7,5,1,1,7,1,3,4,0,1,3,5,6,6,4,5,5,6,6,7,4,6,4,6,4,1,6,2.511177048419619,0.500403938835463,0.7373737373737366,0.5704000000000004
10,8,9,6,5,5,6,4,5,5,5,6,5,4,4,5,6,5,6,4,4,4,5,5,5,4,0,4,4,4,5,4,4,6,4,5,5,5,6,6,6,5,6,4,6,4,6,5,6,6,4,5,4,6,9,5,5,4,6,4,5,6,6,5,4,4,5,5,6,5,6,5,6,4,6,6,7,7,6,6,3,3,2,1,6,6,6,4,6,7,6,6,6,7,6,7,6,5,5,6,2.8307841063016816,0.6207227582377829,0.9191919191919175,0.4888000000000003
10,7,6,1,6,2,1,0,6,2,5,5,3,4,5,4,7,6,6,4,6,4,5,5,4,4,5,0,5,7,5,7,4,6,4,5,2,5,5,6,6,0,6,3,5,4,5,4,0,6,7,4,7,7,6,0,3,1,1,5,3,6,6,6,4,1,6,4,4,6,4,2,6,4,5,2,0,7,1,0,7,3,1,6,6,7,7,3,6,5,5,6,4,6,5,3,6,4,5,7,2.5336683491057297,0.5203938504140712,0.5353535353535355,0.5644000000000003
9,7,0,6,3,2,1,3,0,2,5,2,5,4,5,7,4,3,2,4,5,5,5,4,4,5,3,3,5,4,4,3,4,6,4,1,1,1,3,5,5,5,5,0,5,3,5,2,0,1,1,5,5,7,5,5,5,1,1,3,2,6,6,5,4,3,1,4,3,5,4,4,6,4,4,6,1,0,1,4,3,4,1,1,5,5,6,4,6,4,6,6,5,7,7,4,6,5,7,6,2.3595269250154085,0.4406503316292975,0.6464646464646461,0.5984000000000003
10,7,7,8,7,5,1,7,6,4,6,6,5,4,4,5,6,2,2,4,6,5,4,4,6,4,3,4,5,4,5,4,4,6,4,2,6,4,5,6,5,4,2,6,6,4,5,5,1,1,4,5,4,6,5,6,6,4,5,4,4,4,6,5,4,4,5,4,4,5,5,4,5,4,6,6,6,6,6,4,4,3,4,3,6,4,6,5,6,7,6,7,6,6,6,4,6,5,4,6,2.6748407949573787,0.5901684114968929,0.8686868686868674,0.5356000000000003
10,6,6,5,2,3,6,7,4,5,5,5,5,4,5,5,0,4,5,7,3,5,5,6,5,4,5,3,4,4,8,3,4,6,3,2,6,6,3,6,5,6,6,0,6,4,5,4,6,0,0,5,7,5,4,4,4,4,1,3,6,1,5,1,4,5,6,5,5,5,4,2,5,6,5,6,7,0,6,4,5,3,2,2,6,6,6,4,5,5,6,6,6,6,6,4,6,5,5,6,2.5881878280627593,0.5501317747654819,0.6565656565656561,0.5552000000000002
10,7,8,4,4,5,6,7,6,5,6,4,5,5,4,6,6,3,1,3,6,4,4,4,5,4,4,4,5,4,3,4,4,6,4,5,2,2,5,6,4,4,5,4,6,4,5,4,1,1,5,5,4,6,6,4,5,4,6,4,5,1,6,5,4,3,4,4,7,5,4,5,6,4,5,1,6,7,0,3,3,3,2,2,6,6,6,4,5,5,6,6,5,6,6,7,6,5,4,6,2.6288729000306588,0.5702194636852155,0.8282828282828271,0.5476000000000003
9,7,7,6,0,1,2,3,6,5,5,5,5,4,5,5,7,4,1,4,5,5,4,4,5,4,3,4,5,4,3,4,4,6,4,6,1,3,5,5,5,4,5,4,6,4,4,4,1,5,4,5,4,5,6,4,5,4,5,4,5,6,6,5,4,4,3,4,4,5,5,5,5,4,6,7,1,1,6,4,3,3,2,3,1,6,6,4,5,4,6,6,4,5,6,4,6,5,5,4,2.5495154973817007,0.5210525198679088,0.8686868686868674,0.5616000000000003
9,5,1,3,1,1,0,1,3,2,2,1,2,5,1,3,3,1,1,3,0,2,5,4,4,2,5,4,5,5,4,5,4,6,4,3,1,2,5,6,2,5,5,1,7,4,3,2,1,6,1,6,5,5,3,0,5,1,1,3,3,5,6,6,5,0,1,0,4,5,4,6,2,5,5,5,0,7,1,1,4,0,1,6,2,6,7,4,5,5,6,1,3,6,5,4,6,6,5,6,2.219971649529277,0.3608291566842334,0.6161616161616159,0.6200000000000003
9,7,7,6,2,2,1,3,4,5,6,5,5,3,5,5,5,4,6,4,4,5,4,5,4,4,4,5,5,4,5,4,4,6,4,7,2,4,5,6,5,5,5,4,5,4,7,4,1,1,4,5,4,5,6,3,4,5,1,3,2,1,6,5,4,4,1,4,4,5,4,5,5,4,5,6,6,7,6,3,4,3,1,2,2,5,6,5,5,5,6,6,4,6,6,4,6,5,5,6,2.5569276621000343,0.5304301420199127,0.8282828282828271,0.5600000000000003
10,7,7,4,4,2,6,7,6,5,5,5,5,5,5,6,5,4,1,4,6,4,4,5,6,4,4,4,5,4,2,4,4,6,4,3,5,1,2,6,5,5,6,4,5,4,4,4,1,4,5,6,4,6,5,4,4,2,6,4,0,5,6,6,4,4,5,4,4,5,4,5,5,4,5,6,6,7,0,4,4,3,1,5,0,6,6,4,6,4,6,6,4,6,6,4,6,5,6,7,2.609826857913063,0.5614112011403486,0.7777777777777769,0.5508000000000003
9,7,0,1,3,1,1,0,1,2,6,2,5,4,2,7,7,3,2,4,5,4,6,4,5,4,4,2,2,4,4,5,4,6,4,3,1,1,3,5,4,5,5,1,2,4,4,3,1,0,2,7,5,6,5,3,4,3,1,0,3,5,6,5,5,3,1,3,3,2,3,5,2,5,3,4,1,0,1,3,5,3,1,2,6,6,6,4,4,4,6,6,4,5,6,4,9,5,7,8,2.30619564598491,0.4101084851349451,0.6868686868686862,0.6072000000000003
10,7,6,2,10,5,1,1,6,2,5,5,6,5,5,5,0,1,6,0,3,4,5,4,4,7,4,2,2,4,4,4,4,6,4,2,2,1,5,6,4,4,2,5,5,4,5,4,0,1,1,5,6,2,2,0,5,4,0,4,4,6,5,5,5,1,5,4,2,7,4,5,5,4,2,1,1,0,4,7,3,3,1,2,2,7,6,4,6,5,5,6,6,4,6,5,6,5,6,6,2.4745809595906674,0.49025137806977453,0.626262626262626,0.5776000000000003
