0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg avg_pollution,avg utility,avg inertia,avg reliability
10,9,7,1,1,1,6,5,6,6,0,6,5,6,5,5,5,6,4,4,0,6,1,2,4,4,4,6,6,4,7,5,4,2,3,1,1,6,5,7,5,4,6,5,5,6,1,5,4,6,5,4,6,2,2,5,7,5,6,4,6,6,4,4,5,6,5,1,1,2,6,5,3,4,5,4,1,5,6,6,4,6,2,1,1,5,6,6,6,4,6,6,5,5,6,4,6,6,4,4,2.559970052986488,0.530971002686684,0.7272727272727265,0.5608000000000003
10,9,7,6,4,5,4,4,5,7,6,6,5,6,4,4,6,6,4,5,6,6,6,4,6,6,7,6,6,6,5,5,6,5,6,5,6,6,6,7,6,4,6,6,6,5,7,6,4,6,5,6,6,5,5,5,6,6,6,7,6,6,4,4,6,6,6,6,6,6,6,6,4,5,7,7,6,6,6,6,4,6,6,6,5,6,6,6,6,7,6,6,6,5,6,7,6,6,4,7,2.942947333705398,0.6704543491658704,0.9595959595959579,0.4600000000000003
10,9,6,1,0,4,1,2,5,7,7,5,6,5,4,5,4,1,4,5,6,1,7,2,6,5,4,6,6,5,5,3,3,6,3,6,1,5,6,5,5,4,5,2,3,5,5,5,4,5,4,3,6,0,2,2,4,6,6,5,6,3,5,4,6,7,5,6,1,5,1,4,2,1,1,0,1,2,1,6,4,5,4,6,5,4,6,6,6,7,6,5,0,5,6,4,6,6,5,7,2.5393935499844273,0.5200256319551222,0.626262626262626,0.5616000000000003
10,9,7,7,7,4,6,6,6,6,6,6,5,6,4,4,7,6,4,5,6,9,8,7,6,5,4,6,6,6,6,5,5,6,6,6,5,6,6,5,5,6,6,6,7,6,4,5,4,6,5,6,5,5,4,7,6,6,6,7,6,5,4,4,6,6,5,6,6,7,6,6,4,5,6,7,6,6,7,6,4,6,6,6,7,5,6,6,7,7,6,6,6,5,6,6,5,6,5,4,2.988244044774812,0.7009880978751969,0.9494949494949477,0.45000000000000023
10,9,7,6,7,1,6,6,6,6,6,6,5,6,4,6,7,6,4,5,6,6,6,6,6,7,7,6,6,6,6,4,6,6,6,6,5,5,6,6,5,4,6,6,7,6,7,6,4,6,5,6,7,5,4,6,6,6,6,7,6,6,5,4,6,5,6,6,6,6,6,6,4,4,6,7,6,6,6,5,5,5,5,6,7,4,6,6,6,7,6,5,6,5,6,4,6,6,7,7,2.966364563046604,0.6904736213224179,0.9595959595959579,0.4532000000000002
10,9,7,6,7,7,6,4,6,5,6,5,5,5,4,3,4,6,4,5,5,1,1,4,5,4,4,6,5,4,4,5,4,3,1,6,5,5,4,6,4,7,6,5,4,5,4,6,4,6,4,6,7,5,5,6,5,5,7,7,7,5,4,4,6,6,6,5,6,6,6,6,4,7,7,7,6,5,6,6,7,6,6,6,5,5,6,6,6,7,6,6,6,6,6,6,7,6,5,7,2.8398995687351545,0.6261773449320168,0.9090909090909075,0.49000000000000027
10,9,7,7,6,5,5,4,5,5,6,6,4,6,4,5,5,6,4,5,5,1,0,5,5,5,4,6,6,4,6,5,4,6,4,1,5,5,6,5,5,4,5,6,7,5,4,6,4,6,5,6,6,5,7,6,6,6,6,7,6,6,5,4,6,6,6,6,7,7,5,6,4,5,7,7,6,5,6,6,4,4,5,6,4,4,6,6,6,7,6,6,6,6,6,5,6,6,5,4,2.8584578964913616,0.6304815220655581,0.9191919191919175,0.48360000000000025
10,9,7,9,4,6,5,5,6,4,6,6,5,1,7,4,4,6,5,4,4,1,1,5,5,4,4,6,6,5,5,5,4,5,6,6,2,7,6,6,5,6,6,6,4,5,4,6,7,6,6,6,5,5,6,6,6,6,6,7,7,6,4,5,5,5,5,6,6,4,7,6,5,4,7,7,6,5,6,7,4,10,6,6,5,6,7,7,6,6,6,7,7,5,6,5,6,6,7,4,2.87990139920673,0.6404002159413658,0.8484848484848472,0.48000000000000026
5,6,7,0,0,1,1,2,5,2,1,2,5,6,4,5,5,6,4,5,6,1,2,3,4,5,4,5,6,4,6,4,3,3,3,6,5,5,6,5,6,5,4,2,3,4,3,4,4,5,5,2,1,2,2,2,5,6,6,7,1,3,4,4,6,6,5,1,0,1,6,4,5,4,4,5,6,6,6,5,4,5,5,6,5,4,6,6,6,7,6,6,5,4,6,4,6,6,6,5,2.4503449408623954,0.4469313492238954,0.8787878787878775,0.5720000000000003
10,5,6,7,0,6,4,2,6,2,5,1,3,6,3,5,4,6,6,5,4,3,1,2,4,4,5,5,6,5,5,2,0,0,2,1,2,4,5,4,5,5,5,3,3,2,2,6,4,4,4,3,1,3,1,1,4,6,6,4,1,2,3,3,6,6,6,1,1,1,2,3,2,2,3,4,1,2,1,6,4,5,5,6,4,4,6,5,5,4,6,6,6,4,6,7,6,4,5,5,2.429813971489838,0.4717652455568093,0.7575757575757567,0.5868000000000003
10,9,4,6,2,6,6,4,5,4,1,1,2,5,4,4,5,6,4,5,4,3,1,1,5,5,5,6,6,4,6,3,3,3,3,2,5,5,6,2,5,4,5,5,3,4,4,5,4,5,5,4,3,2,2,5,6,5,6,4,4,3,2,5,6,5,6,6,1,1,6,6,4,3,3,3,6,7,6,5,4,5,1,1,2,4,6,6,7,4,5,6,6,5,6,7,6,6,5,5,2.564356505523511,0.5206782082607049,0.8080808080808068,0.5604000000000003
10,9,7,0,6,6,6,5,6,7,5,2,5,6,4,5,5,6,4,4,6,3,2,1,4,5,4,6,6,4,4,4,4,4,5,1,5,5,5,5,5,4,5,6,5,5,4,4,4,6,4,4,1,2,5,6,4,5,6,0,6,1,4,5,5,7,5,5,2,1,6,5,4,3,4,7,6,5,6,4,4,4,1,6,5,4,6,6,4,4,6,5,6,6,6,6,5,4,5,5,2.627407785534769,0.5714026246051476,0.7777777777777769,0.5468000000000003
10,9,6,6,6,6,4,5,5,6,1,6,5,5,4,5,5,6,4,4,6,1,6,4,5,5,4,5,5,4,5,4,3,2,3,1,5,6,6,5,5,4,5,5,4,6,4,5,4,5,5,4,2,2,1,5,6,6,6,4,6,5,5,4,5,5,5,1,1,1,6,5,4,2,7,0,6,6,6,5,4,5,5,6,5,4,6,7,6,7,6,4,6,5,6,6,6,6,6,4,2.6480893029821675,0.5815992393087612,0.8585858585858572,0.5420000000000004
10,9,7,9,7,9,9,7,6,6,7,6,5,6,7,6,7,6,4,5,6,6,6,6,6,5,4,6,6,5,6,4,6,7,6,6,4,5,6,6,6,6,7,6,7,5,6,6,4,6,6,6,6,5,5,5,6,6,6,6,6,6,4,5,6,6,6,5,6,7,6,6,4,4,6,7,6,5,6,6,7,6,6,6,5,4,6,6,7,7,6,6,6,4,6,6,6,6,7,7,3.1116033696531424,0.7440813155413245,0.9898989898989881,0.4036000000000001
10,9,4,2,0,6,6,4,6,6,6,6,6,6,5,6,7,6,4,5,5,6,6,6,5,6,7,7,6,7,6,5,6,5,6,6,6,6,6,5,6,6,5,6,5,6,6,6,4,6,6,6,4,5,5,5,5,6,6,7,7,5,5,5,6,6,5,6,6,6,6,6,4,3,6,7,6,5,6,5,4,6,6,6,5,5,6,6,6,5,6,6,6,5,6,5,6,6,7,7,2.8990546530525556,0.6526320555894398,0.9393939393939377,0.4668000000000002
10,9,7,1,0,1,6,5,6,6,2,9,5,6,4,3,4,6,4,5,7,3,2,2,4,5,4,6,6,4,6,5,5,3,6,1,5,4,5,5,5,4,3,6,3,4,4,4,4,5,5,3,2,3,2,4,5,6,6,7,1,2,4,4,6,6,5,6,1,1,6,4,4,4,2,4,2,6,6,5,4,5,5,6,5,4,4,6,7,4,5,4,6,6,6,5,5,6,4,4,2.5755238442145196,0.5421185977711764,0.7474747474747467,0.5572000000000004
10,6,7,2,1,7,1,1,5,6,5,6,6,6,4,7,5,6,4,5,2,6,1,6,5,6,6,5,5,5,5,3,3,2,1,6,5,1,6,2,6,5,5,5,4,5,2,5,5,7,4,3,6,2,5,2,5,6,6,7,1,1,5,4,6,7,6,6,5,0,1,2,5,2,0,5,1,7,6,4,4,2,6,6,4,7,6,1,7,5,6,6,6,5,6,7,6,7,6,5,2.5687584573121747,0.5410628845356343,0.5858585858585859,0.5576000000000003
10,9,4,6,4,1,2,5,5,6,5,6,4,5,4,5,5,6,4,4,5,1,1,2,5,5,4,6,6,4,6,5,4,3,2,1,5,5,6,5,5,4,4,5,4,5,4,4,4,5,5,4,3,2,1,5,6,5,6,4,5,5,4,4,5,5,5,1,1,2,9,4,3,3,3,4,6,5,6,5,4,4,0,6,5,4,5,6,6,6,6,5,6,4,6,6,6,5,6,7,2.5819488323373236,0.5395011178452032,0.8787878787878775,0.5560000000000004
10,9,7,6,0,5,6,5,5,5,5,6,5,5,4,5,5,6,4,4,5,2,1,5,6,5,4,6,6,4,6,5,3,3,2,1,5,6,6,5,6,4,4,5,4,5,4,4,4,6,5,2,3,2,2,5,6,5,6,4,1,5,5,4,5,4,5,1,1,2,6,6,4,4,6,6,6,6,6,5,4,5,5,6,5,4,6,7,7,7,6,5,6,6,6,7,5,6,4,5,2.6383896815250356,0.5754498047644186,0.8686868686868674,0.5424000000000003
10,5,4,5,7,5,1,6,4,5,7,6,5,6,4,5,6,6,5,5,4,3,1,4,5,5,4,5,6,5,6,4,5,1,5,6,5,1,5,6,5,4,5,6,4,5,3,5,4,5,5,0,1,5,1,2,7,6,6,3,6,6,5,4,6,6,6,1,0,6,6,7,3,2,3,3,1,5,6,5,4,6,1,6,5,5,6,6,6,4,6,6,6,6,6,5,6,5,7,6,2.6049076175906833,0.5637921109423613,0.7373737373737366,0.5504000000000002
10,9,7,9,7,9,10,7,9,6,7,6,5,6,7,9,7,6,7,5,7,5,6,7,9,7,6,6,6,7,6,6,6,7,6,7,9,6,6,5,6,7,7,6,6,6,7,6,10,6,10,6,6,5,5,9,6,6,5,7,6,6,5,5,6,7,6,6,6,6,6,6,4,4,8,7,6,5,6,6,7,6,5,6,5,9,9,6,7,7,6,6,6,5,6,7,6,6,7,6,3.2773828242653233,0.8107188211121701,0.838383838383837,0.36840000000000017
