0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg avg_pollution,avg utility,avg inertia,avg reliability
10,10,9,1,7,5,5,4,6,5,4,6,4,4,6,6,4,3,4,6,6,6,5,5,5,4,6,4,6,6,6,6,6,6,6,5,5,6,6,6,6,7,6,5,4,6,7,7,6,4,6,6,6,6,5,6,5,5,6,5,6,5,5,5,6,7,6,5,6,7,6,4,4,5,6,5,6,7,6,6,5,4,6,5,6,6,6,6,5,6,4,5,6,6,5,6,5,5,6,7,2.9029981588576157,0.6534465290659004,0.9696969696969678,0.4696000000000003
10,10,4,6,1,5,1,0,6,4,4,6,4,7,6,6,4,3,2,1,5,6,4,2,2,6,6,5,6,6,5,6,6,2,1,5,5,9,1,7,4,7,1,5,3,5,7,6,1,3,4,6,6,7,1,1,2,5,6,5,5,4,5,4,3,1,2,6,6,7,4,4,2,2,5,4,6,6,6,4,2,5,1,1,1,5,5,6,6,5,5,6,7,5,5,6,4,6,10,7,2.5653028203241854,0.5355457587607513,0.6464646464646461,0.5600000000000003
10,10,10,5,4,2,7,0,6,7,7,1,6,6,4,7,0,5,5,1,6,1,5,5,10,6,5,3,6,6,4,6,0,3,1,5,5,7,1,6,7,5,2,5,5,4,4,4,5,4,3,1,6,6,7,7,6,1,1,3,5,5,5,5,0,7,1,2,6,5,7,4,5,1,7,7,4,4,6,6,1,2,2,5,1,5,5,7,6,6,5,6,6,7,5,6,5,6,6,6,2.6412631761669036,0.5803214951731952,0.5454545454545455,0.5464000000000003
10,10,9,10,10,5,7,7,7,6,7,6,4,5,6,6,7,4,5,6,7,6,5,5,5,6,6,7,6,7,5,6,6,5,6,7,5,6,6,6,6,7,6,5,5,0,6,7,6,7,6,6,6,6,7,6,6,5,5,5,7,5,6,5,6,7,6,6,6,6,5,4,4,5,6,5,6,7,6,6,6,7,6,5,6,5,6,7,7,6,6,5,5,6,5,6,4,6,6,7,3.1223573725344296,0.7500529743759645,0.9090909090909075,0.4040000000000002
9,5,5,0,1,1,0,0,1,3,1,0,4,3,7,3,4,2,1,4,2,0,4,5,7,5,6,2,1,6,6,6,5,2,2,6,4,4,4,4,5,1,2,2,5,3,5,6,1,2,3,6,6,3,6,1,0,2,5,5,5,2,5,5,1,1,2,5,7,1,4,3,2,0,5,4,5,5,6,2,2,3,3,1,6,6,5,5,1,6,4,6,1,6,3,5,5,5,5,6,2.257856994751401,0.38060790601443684,0.5555555555555556,0.6152000000000004
10,10,10,10,10,5,6,6,7,6,5,6,7,7,6,6,7,4,5,6,6,6,5,6,5,6,6,6,6,9,6,6,7,6,7,7,5,6,6,6,7,7,6,5,6,7,9,7,6,7,6,6,6,7,7,6,6,7,9,9,7,5,6,5,9,7,7,7,6,7,5,4,4,6,6,5,6,7,6,6,6,7,6,6,6,6,4,6,6,6,6,6,6,6,5,6,5,5,6,7,3.2255587947861604,0.7814658270875572,0.9191919191919175,0.38240000000000024
10,10,10,10,10,5,6,9,7,6,5,6,7,7,6,6,7,4,10,6,6,6,5,6,10,6,9,6,6,9,5,6,7,6,7,6,5,6,7,6,7,7,6,5,6,7,9,7,6,7,6,6,6,8,4,6,6,7,9,9,7,5,6,5,9,7,7,7,5,7,6,4,5,6,7,10,6,7,6,6,6,7,6,10,6,6,5,6,6,6,6,6,6,6,5,6,5,5,6,7,3.28496030954915,0.8152680143599724,0.7878787878787868,0.37000000000000016
10,10,9,4,5,5,5,5,5,6,6,6,4,6,6,6,4,5,5,6,6,5,5,6,5,6,6,6,6,6,5,6,7,6,6,5,4,6,6,7,7,7,6,5,4,6,6,7,6,4,6,6,6,6,7,6,5,4,6,6,6,5,6,4,6,7,6,4,6,5,6,4,5,6,4,5,6,6,6,6,5,4,5,5,5,6,6,6,7,6,4,5,6,6,5,6,5,6,6,5,2.967252043861021,0.6818678889036239,0.9898989898989881,0.4496000000000002
10,10,5,5,5,2,0,2,6,7,1,6,5,4,6,5,5,4,5,4,4,3,4,5,4,6,6,3,6,6,5,6,1,1,6,6,5,6,5,4,5,7,6,2,3,6,2,4,6,0,2,6,5,6,3,6,1,0,6,5,4,5,5,5,3,1,1,5,7,6,0,4,5,1,5,4,5,4,5,6,5,5,4,5,5,5,6,5,5,5,4,5,1,6,4,6,5,5,5,6,2.5777567588599783,0.5435127961467422,0.6767676767676761,0.5556000000000003
10,5,1,6,5,0,3,3,6,7,6,6,4,4,6,5,4,3,2,6,7,5,4,5,5,6,6,3,6,1,5,6,6,2,1,2,5,6,5,3,6,6,2,2,3,7,7,7,6,4,4,6,6,7,2,1,0,0,6,5,4,5,4,3,6,0,5,6,5,4,4,4,4,2,4,5,6,0,6,6,5,5,6,1,6,6,6,6,5,6,4,6,6,6,5,6,5,6,6,7,2.559372984010765,0.5331328428354152,0.7070707070707064,0.5588000000000003
10,5,5,6,2,1,0,1,6,7,1,6,5,4,6,4,5,4,5,5,4,5,4,5,4,6,6,3,6,6,5,6,1,1,6,6,4,6,6,4,6,4,6,2,3,1,2,7,1,3,4,6,5,1,2,2,1,1,1,5,4,6,5,3,4,1,6,6,4,6,3,4,2,1,5,4,5,4,5,6,5,5,3,5,5,6,6,5,5,5,5,5,6,6,4,6,4,5,5,6,2.5208800592867435,0.5045000320661045,0.7777777777777769,0.5656000000000003
9,10,1,1,5,6,3,3,1,5,5,6,7,4,6,5,4,3,3,6,6,4,4,5,4,6,6,3,5,6,5,6,7,1,1,2,5,6,5,4,6,7,2,2,2,3,4,6,6,4,4,6,6,6,6,1,1,1,1,5,4,5,5,2,1,0,6,6,6,4,4,4,3,6,5,4,6,4,6,6,5,5,6,2,6,6,6,5,5,6,5,5,6,6,6,5,5,6,6,4,2.563370569423739,0.5321739881147463,0.818181818181817,0.5556000000000003
10,10,9,9,5,5,5,6,7,6,4,6,6,7,6,6,6,5,5,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5,5,5,6,6,4,6,4,6,5,4,6,7,7,6,4,6,6,6,6,4,6,5,4,6,5,4,4,6,5,6,7,6,7,6,7,6,4,5,5,6,5,6,7,6,6,6,5,6,6,6,6,6,6,6,6,6,7,6,6,5,6,5,6,6,7,3.0131892861093372,0.7133866741727095,0.9898989898989881,0.4432000000000002
10,10,9,1,4,5,6,4,5,6,4,6,4,5,6,5,4,4,5,6,6,4,4,5,4,6,6,3,1,1,5,6,6,1,1,5,5,6,6,4,1,4,5,5,4,6,7,6,6,7,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,7,6,6,6,6,6,4,4,5,6,5,6,7,6,6,5,5,5,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,7,2.805926803353783,0.611539638142926,0.9191919191919175,0.4964000000000003
