0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,10-p avg_pollution,10-p utility,10-p inertia,10-p reliability
1,0,1,0,0,1,0,1,3,0,9,10,9,10,4,7,7,7,5,6,5,7,10,4,5,4,4,7,6,6,6,5,5,5,4,0,0,1,1,1,2,1,3,1,1,2,0,1,1,0,0,6,2,0,2,1,2,0,0,1,5,0,0,2,0,1,1,0,3,0,1,0,1,0,1,1,4,1,1,0,2,1,3,1,1,1,0,6,2,3,6,0,2,1,3,3,0,6,8,2,0.16473204303953343,0.20664531085539115,0.6565656565656561,0.104
9,0,0,0,0,0,0,1,1,9,9,9,9,6,7,6,1,7,4,6,6,7,6,4,7,6,4,5,5,6,5,6,5,6,4,1,0,1,0,2,0,0,0,1,1,1,0,1,1,0,1,0,0,0,2,1,2,0,0,1,1,1,3,2,1,1,1,1,0,0,1,0,1,0,0,4,0,1,1,4,1,1,0,2,0,1,1,1,0,2,1,1,1,0,2,0,7,1,1,0,0.15259659890123115,0.2286611876410349,0.7676767676767667,0.094
6,3,0,0,0,1,0,1,9,10,9,10,9,8,7,9,6,7,6,6,7,4,6,5,5,7,4,6,5,6,6,6,5,7,5,1,0,0,0,2,3,0,0,1,3,1,0,1,1,0,2,2,3,1,2,1,2,0,1,1,1,0,4,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,3,1,0,0,1,1,2,6,0,0,1,3,3,2,2,1,1,1,0.1666223639918526,0.2730245659993,0.818181818181817,0.084
6,0,0,0,0,0,0,0,2,1,9,5,6,10,7,6,7,6,0,6,5,4,6,4,4,5,4,5,3,6,6,4,5,0,4,6,1,1,1,1,0,1,0,2,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,3,1,1,2,0,0,0,1,0,0,0,1,1,0,1,3,1,2,1,3,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0.13999811807527057,0.18546043270681403,0.8383838383838371,0.104
1,0,0,0,0,0,1,0,0,1,4,6,5,9,6,10,7,1,9,5,5,7,6,4,5,7,5,6,2,5,6,4,6,7,3,0,0,6,7,1,3,1,0,1,1,1,0,5,0,0,1,0,1,0,2,1,1,1,0,0,2,0,2,1,4,0,1,1,7,0,0,1,1,0,1,1,1,1,0,2,1,0,0,2,7,1,1,1,1,1,4,1,0,0,0,0,3,1,1,2,0.15195831695547285,0.17067935270098522,0.6565656565656561,0.11399999999999999
9,0,0,0,0,0,0,3,4,9,9,10,10,9,7,7,6,7,4,6,6,7,6,4,7,6,4,6,6,6,6,6,5,6,3,7,0,1,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,1,3,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,3,0,1,0,0,1,1,0,2,0,1,0,1,0,1,0,1,1,3,1,1,3,0,1,0,0.15786197089128406,0.26121413163559054,0.8282828282828271,0.084
9,7,1,0,5,5,6,9,10,9,10,10,9,9,7,6,6,6,6,6,4,4,6,5,4,5,4,6,5,6,6,6,4,5,3,3,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,3,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,2,0.16451700560050103,0.3550719498789859,0.9494949494949477,0.044000000000000004
1,0,0,0,0,0,0,1,1,2,0,10,10,10,4,6,7,6,7,6,4,3,2,0,3,7,5,1,1,6,6,7,2,3,5,0,2,0,6,7,3,0,2,3,2,0,0,1,1,3,2,1,3,3,2,0,2,3,4,1,1,1,2,1,1,1,1,0,0,0,1,3,1,0,1,1,0,1,3,1,1,1,0,1,0,0,1,2,3,0,0,1,1,0,1,3,0,1,0,5,0.1474328236588774,0.16451240328421343,0.7474747474747466,0.11399999999999999
6,0,0,0,0,0,0,0,0,2,1,2,5,5,6,6,7,6,7,6,5,4,6,5,2,5,5,6,1,1,1,4,0,0,3,0,0,1,0,1,0,1,1,2,2,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,1,0,1,1,1,1,1,2,2,4,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0.12116072854114324,0.14479866144620396,0.8585858585858572,0.112
9,0,0,0,1,1,1,0,8,8,7,9,10,6,7,6,6,3,7,6,4,3,2,3,3,2,3,6,6,1,1,4,3,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,3,0.13102207281961276,0.22277618261532506,0.9191919191919176,0.084
9,0,1,1,0,5,6,7,9,9,9,10,9,6,6,7,6,7,6,5,5,5,5,6,4,5,4,6,1,1,1,5,4,4,3,3,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,2,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3,0.1497417329824552,0.2942598455994163,0.9393939393939377,0.06400000000000002
5,0,0,0,0,1,0,0,0,6,4,2,10,9,7,6,6,6,6,6,5,7,6,4,2,4,3,1,2,1,1,6,3,1,3,0,0,1,1,0,0,1,0,2,2,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,2,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.12540627535961277,0.1732911426238101,0.8585858585858572,0.10200000000000001
10,0,0,0,1,1,2,2,1,6,10,10,10,6,4,7,7,7,7,6,5,4,6,5,4,4,4,2,2,2,1,2,2,1,1,0,1,0,0,0,0,1,0,1,2,1,0,1,3,0,1,0,6,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,2,1,1,2,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,3,0.138966436208932,0.23139133980391946,0.9090909090909075,0.08200000000000002
7,0,0,0,1,0,1,1,1,9,9,10,10,6,7,6,6,6,7,6,5,4,6,2,3,4,3,4,1,2,1,2,2,3,0,0,0,1,1,0,0,1,1,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0.1289864738136183,0.2125069167144239,0.9393939393939377,0.08800000000000001
9,0,0,0,1,0,3,7,9,9,9,10,10,9,5,9,6,7,6,6,5,4,6,6,4,5,4,5,2,2,1,2,2,1,2,1,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,3,3,1,0,0,1,2,0.1465038370150845,0.2727615507077313,0.9292929292929276,0.07400000000000001
6,0,1,0,0,0,0,0,4,6,7,5,10,9,6,6,6,1,1,6,5,4,6,6,4,4,5,6,2,2,1,3,2,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0.11933122183801824,0.18659906160422363,0.9191919191919176,0.094
7,7,1,0,0,0,7,9,7,7,9,10,5,6,6,6,6,6,6,6,4,5,6,4,4,3,2,1,2,1,1,2,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,2,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,2,0.1357491187645759,0.269729306176907,0.9595959595959578,0.06400000000000002
6,0,1,0,0,0,0,0,1,0,1,5,5,6,7,6,7,1,1,6,6,3,1,4,3,3,3,1,1,7,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0.10236117915244075,0.13057684542429682,0.9090909090909075,0.112
9,7,4,7,8,7,9,6,9,9,10,10,9,8,7,7,6,7,7,6,5,6,6,5,5,6,4,5,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,1,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0.15910079389983925,0.3903418260009363,0.9494949494949477,0.034
9,0,0,0,1,0,1,8,8,7,9,9,10,9,4,6,6,6,6,5,4,4,6,5,4,3,4,6,2,1,2,3,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0.13342826211190226,0.248583542294683,0.9393939393939377,0.07400000000000001
7,7,6,0,4,6,7,9,9,9,9,10,5,6,6,6,6,6,6,6,4,4,6,4,4,3,3,1,2,1,1,1,2,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0.14145885452024642,0.32546346274394156,0.9595959595959578,0.044000000000000004
6,0,1,0,0,0,0,0,0,4,9,9,10,7,6,6,1,6,4,1,3,4,1,4,3,3,3,1,0,1,1,2,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.10859436601658223,0.1621760914243336,0.9090909090909075,0.104
8,7,1,0,1,8,8,9,8,9,9,9,10,9,7,6,6,6,6,6,2,7,6,5,4,4,4,6,1,1,1,2,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0.14777181126633573,0.32899439003976333,0.9494949494949477,0.054000000000000006
1,0,0,0,0,0,0,0,1,1,1,6,5,6,7,6,6,6,2,1,2,3,1,3,1,3,3,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,2,0.09554134267389892,0.10086457953239668,0.9797979797979779,0.11399999999999999
9,0,0,0,1,0,1,0,0,1,7,6,5,6,7,6,6,6,0,1,2,3,1,3,4,3,4,6,0,0,1,2,2,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.1021745685502802,0.1537259921343132,0.9595959595959578,0.09200000000000001
6,0,0,0,0,0,0,0,1,1,1,1,6,6,7,7,6,6,1,6,4,3,1,3,3,4,3,1,3,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0.09638473577109673,0.12598334480814194,0.9494949494949477,0.112
9,7,1,0,0,7,7,9,9,9,9,9,5,6,4,6,6,7,6,6,5,4,6,4,4,3,4,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.13652177101982785,0.30348839773147246,0.9595959595959578,0.054000000000000006
1,0,0,0,0,0,1,0,0,0,1,2,5,1,7,6,6,6,5,6,10,4,6,7,3,3,4,6,3,1,1,0,1,0,6,0,1,1,0,0,0,7,0,1,1,1,0,1,0,0,0,1,1,0,3,1,1,1,0,1,1,6,0,0,1,1,1,0,0,0,0,0,1,0,6,1,1,1,1,0,1,1,0,0,0,0,0,1,2,1,0,0,7,0,0,0,0,0,1,2,0.12410214070446629,0.12245082739254262,0.818181818181817,0.122
9,8,1,0,6,9,9,10,9,9,9,9,10,9,7,6,7,7,6,6,5,4,6,4,4,5,4,6,0,1,1,0,1,1,0,3,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0.1576866363822487,0.36519745288370453,0.9393939393939377,0.044000000000000004
9,7,6,7,9,10,9,9,9,9,9,10,10,6,7,6,7,7,9,9,9,7,6,6,6,7,7,8,7,6,5,5,6,5,6,3,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,2,3,0,0,1,1,0,0,0,1,2,1,0,1,0,0,0,0,1,1,0,1,1,2,1,2,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,3,0.19539903035774528,0.45109988072951424,0.9595959595959578,0.034
9,7,7,7,6,9,6,10,9,9,9,6,5,6,7,6,6,6,7,6,4,4,6,4,3,3,3,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.1445136948907662,0.36717337001662675,0.9595959595959578,0.03
4,0,0,0,0,0,0,0,0,0,1,1,5,6,6,6,6,6,1,2,5,3,2,3,4,4,3,1,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.09449830321251408,0.10557127359081309,0.9393939393939377,0.122
1,0,0,0,0,0,0,0,0,0,0,1,5,6,7,6,7,6,5,1,2,3,4,3,3,3,4,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09551587106866233,0.09471621235957048,0.9696969696969678,0.122
9,7,7,7,7,6,6,7,6,6,6,6,5,6,6,6,7,6,7,1,1,3,2,3,3,4,2,1,0,0,1,0,2,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,3,0.13098361088523033,0.31919291544483497,0.9696969696969678,0.034
6,0,0,0,0,0,0,0,0,0,0,6,10,9,7,9,9,6,2,2,5,0,1,3,3,3,3,3,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,1,3,0,0,1,3,1,1,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0.114592195492128,0.14459017345703898,0.8282828282828271,0.11399999999999999
