0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,avg_pollution,utility,inertia,reliability
8,7,7,6,6,1,1,3,1,2,3,3,2,2,5,3,1,1,3,3,3,2,3,2,3,1,3,2,2,2,2,3,4,5,2,1,2,1,3,2,1,2,3,2,0,9,9,9,10,10,0.2226590107721067,0.4300748924751648,0.8775510204081639,1.0000000000000004
8,6,6,6,3,1,3,3,2,3,3,3,2,2,3,3,1,1,3,3,3,3,3,1,3,1,3,2,2,3,1,2,2,1,3,2,3,3,1,1,1,2,2,2,7,8,9,8,9,10,0.2036688693605907,0.41394176102881003,0.9387755102040823,1.0000000000000004
8,7,6,6,4,1,3,3,2,3,2,3,3,1,3,3,1,1,3,3,2,3,3,2,3,1,3,2,2,3,1,2,2,1,0,1,3,1,1,2,1,2,2,7,7,8,9,9,9,10,0.20952090681612304,0.4181470132149597,0.9591836734693885,0.9800000000000005
8,7,6,6,6,1,1,2,2,3,3,3,2,2,2,1,1,1,2,3,2,2,3,2,3,1,3,2,2,2,2,2,2,2,3,1,2,2,1,1,2,3,1,0,7,9,9,8,9,10,0.19477615077925117,0.40017629471858895,0.9591836734693885,1.0000000000000004
8,7,7,6,2,1,2,2,1,3,3,3,3,2,3,2,1,1,3,3,3,3,3,4,3,2,3,2,2,2,1,2,2,1,3,2,2,2,1,1,1,2,1,7,7,9,10,9,10,10,0.21125772312740598,0.4246128872460785,0.9591836734693885,0.9800000000000005
8,7,7,6,5,1,2,2,1,3,3,3,3,2,3,2,1,1,3,3,3,4,3,2,3,2,3,2,3,2,1,3,3,1,3,2,2,2,3,1,1,5,6,7,7,9,9,9,9,10,0.24511558241709053,0.4541963362521669,0.9591836734693885,0.9600000000000005
9,7,7,6,1,1,2,3,2,3,2,3,3,2,2,3,1,1,2,3,2,3,3,2,2,1,3,2,2,2,3,1,2,2,3,1,1,2,2,2,1,4,3,1,7,8,9,9,10,10,0.19881204224936838,0.41082535044244495,0.9387755102040823,0.9800000000000005
9,8,7,6,6,2,1,3,2,2,3,3,2,1,3,3,2,1,2,3,2,2,3,3,3,2,3,2,3,2,2,3,5,1,0,1,2,3,3,2,2,1,2,2,4,6,9,9,10,10,0.23682397781480777,0.4342626267627712,0.89795918367347,1.0000000000000004
7,7,7,6,1,1,2,3,1,3,3,3,2,2,2,3,3,1,3,3,3,2,2,2,3,1,3,1,2,3,1,2,2,1,3,1,2,1,1,2,1,2,1,0,0,10,9,7,9,10,0.17968441820232717,0.3803892758049191,0.9591836734693885,1.0000000000000004
9,7,7,6,5,2,1,2,2,3,3,3,2,2,2,3,2,1,3,3,3,3,5,3,3,2,3,2,2,3,2,2,1,2,4,5,2,2,2,1,6,2,2,1,1,9,10,10,3,10,0.24714681636221936,0.4412434958294941,0.7959183673469393,1.0000000000000004
