0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,avg_pollution,utility,inertia,reliability
9,8,6,6,5,2,1,1,3,3,3,3,3,3,3,3,1,2,2,3,3,1,1,2,3,3,3,1,2,2,3,3,1,0,1,0,1,0,0,0,0,7,7,7,9,8,9,10,9,10,0.2352038274768856,0.4362998159201317,0.9387755102040823,0.9600000000000005
10,7,5,6,4,2,2,2,3,3,3,4,3,3,2,3,4,3,3,2,0,1,1,2,3,7,3,2,2,2,2,2,6,1,1,6,1,0,0,0,6,0,6,0,6,6,9,6,9,10,0.2510085606605905,0.44230056697954967,0.6326530612244902,1.0000000000000004
9,7,6,4,4,2,2,1,3,3,3,3,3,3,3,2,2,1,3,2,3,1,2,3,3,3,3,1,3,2,3,2,1,0,1,1,2,6,7,9,7,8,9,7,9,9,9,10,10,10,0.3181173685860187,0.4924916810521532,0.9591836734693885,0.8800000000000004
9,6,7,7,1,2,1,1,3,2,3,2,3,3,2,2,1,2,2,2,3,1,2,2,3,2,3,1,2,3,3,2,1,1,1,3,1,0,0,1,0,0,1,0,6,7,9,10,10,10,0.1767202572423912,0.37682838331006957,0.9387755102040823,1.0000000000000004
10,6,4,2,1,2,1,3,3,2,2,3,3,2,3,3,1,2,2,3,3,1,1,2,2,3,2,1,2,1,3,2,1,2,2,2,1,0,1,1,0,0,1,0,5,4,9,10,10,10,0.1596687458371084,0.3510158573320669,0.9183673469387762,1.0000000000000004
10,4,4,5,1,1,1,2,3,2,1,2,3,2,1,3,2,3,2,3,1,1,2,2,3,3,2,1,2,2,1,3,2,1,1,3,1,0,0,1,0,1,1,1,1,4,6,10,10,10,0.14949931188032042,0.33055694358198934,0.9183673469387762,1.0000000000000004
9,7,6,4,4,3,2,1,3,3,3,3,4,3,2,3,2,2,3,2,2,2,1,3,2,1,3,4,6,6,9,10,10,10,10,9,10,9,8,9,9,10,10,10,10,10,10,10,10,10,0.7335469672216224,0.6599189273868198,0.9795918367346946,0.6600000000000003
10,5,4,3,1,2,1,2,3,2,2,3,3,3,2,3,1,2,3,2,1,1,1,2,2,2,2,1,3,2,3,3,2,1,1,0,1,0,0,1,1,3,1,0,1,3,1,10,10,10,0.14701002067472307,0.324816534931596,0.9591836734693885,1.0000000000000004
9,7,6,5,6,2,1,1,3,3,3,3,3,3,3,3,2,2,3,2,3,1,2,3,3,3,3,1,3,2,2,3,1,2,2,1,3,3,7,9,8,9,10,9,10,10,10,10,10,10,0.3597279305415637,0.5216432681946428,0.9591836734693885,0.8600000000000004
10,6,4,5,2,2,1,2,3,2,2,2,2,3,2,3,1,3,2,2,1,1,2,2,3,2,3,1,2,2,3,2,1,1,1,2,1,1,1,1,0,1,1,0,6,7,9,10,10,10,0.16702547750535413,0.3642784511690032,0.9387755102040823,1.0000000000000004
