0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,10-p avg_pollution,10-p utility,10-p inertia,10-p reliability
7,6,7,6,6,5,1,0,0,0,1,3,6,7,7,3,3,2,1,1,1,4,3,1,6,5,5,0,1,1,1,1,3,3,1,2,3,1,2,2,1,1,3,5,6,6,5,5,5,1,0.11654133148055115,0.3608107700158742,0.8367346938775516,0.9620000000000005
7,6,7,6,6,10,1,6,0,3,2,3,6,6,5,4,3,2,1,1,3,4,3,1,6,5,5,1,1,1,1,1,3,3,1,1,2,1,2,2,1,2,4,5,6,6,5,5,5,6,0.12834367510666064,0.41564589664918306,0.8163265306122455,0.296
9,6,6,6,7,6,0,1,0,0,1,4,1,5,4,6,3,4,6,6,5,5,5,5,5,7,6,6,5,6,6,6,2,3,1,2,4,3,2,5,5,5,6,7,6,4,5,5,5,10,0.16466092351418782,0.4853078129224848,0.7755102040816332,0.47600000000000015
9,7,7,7,7,7,3,1,2,1,2,3,7,6,7,7,1,3,2,2,6,6,5,7,5,4,6,1,1,0,0,6,4,3,0,2,3,1,2,3,2,2,4,6,6,6,1,6,5,6,0.14728425500831055,0.46751286844643075,0.7346938775510209,0.298
9,8,7,7,6,2,2,1,1,1,1,3,6,0,6,6,3,2,1,0,3,3,3,1,5,4,6,6,7,7,0,1,5,4,1,3,2,2,2,3,1,2,1,6,7,7,6,7,9,7,0.13719014947422162,0.42070353414043804,0.7755102040816332,0.6320000000000002
9,9,7,6,6,5,1,0,0,1,1,2,5,4,4,4,2,2,1,1,2,3,1,3,6,5,4,0,0,1,1,1,4,4,1,1,2,1,3,2,3,3,1,3,5,6,2,6,7,7,0.11483893104893651,0.36430178308909866,0.7959183673469393,1.0000000000000004
10,7,6,6,4,5,6,1,1,1,4,4,6,4,4,1,3,1,1,6,4,5,5,4,6,5,4,6,1,7,5,6,4,2,6,2,2,2,3,3,5,6,5,2,1,1,7,5,5,7,0.14929012066259953,0.46402881383351124,0.6734693877551025,0.4360000000000001
9,9,9,4,1,4,6,5,5,6,6,7,8,7,6,5,4,6,6,6,7,6,6,6,6,5,5,1,0,5,6,7,7,6,7,7,5,6,5,6,6,1,4,4,6,5,5,4,7,6,0.20634633522530269,0.6178231727765666,0.8163265306122455,0.23799999999999996
5,6,6,6,5,5,6,5,3,1,3,1,6,6,6,2,3,6,5,8,7,7,6,5,6,4,5,1,4,5,4,6,5,6,7,6,1,5,6,2,2,3,2,3,1,5,4,5,5,5,0.1673322767950585,0.5080093214380923,0.7755102040816332,0.338
9,9,5,6,5,5,2,1,1,3,2,3,0,6,5,3,0,1,1,1,5,4,1,3,7,6,1,1,1,3,1,1,3,2,5,5,6,2,2,2,6,1,0,7,6,6,5,6,9,9,0.12812557217801931,0.4000277889479462,0.6734693877551025,0.9480000000000005
9,7,7,6,3,4,1,1,1,1,6,4,6,4,4,5,3,1,1,7,5,5,5,5,7,6,4,6,1,5,5,5,4,5,6,6,5,3,2,3,5,6,4,2,7,2,4,5,5,7,0.15972928063341035,0.48054505256109425,0.6734693877551025,0.47400000000000014
8,7,6,6,6,6,1,0,0,0,1,3,4,7,7,4,4,2,7,5,4,4,4,6,5,4,6,6,7,6,6,6,9,7,1,1,0,0,1,1,4,1,6,4,6,6,6,5,3,6,0.15949335742154855,0.4733620192847925,0.7346938775510209,0.4560000000000001
10,9,6,7,6,4,1,6,4,1,6,1,0,4,6,5,5,6,5,4,6,2,4,4,6,7,4,6,4,4,6,6,6,4,5,4,5,4,5,2,4,2,5,4,4,5,5,5,5,6,0.16940852240011164,0.5255095340198216,0.7142857142857147,0.298
10,6,5,4,5,5,7,0,7,7,7,4,5,4,7,6,5,6,6,6,5,4,4,5,5,0,4,5,6,6,6,5,6,5,0,4,6,6,2,3,4,6,6,4,6,5,6,5,5,7,0.18493631048387854,0.5642395194626001,0.755102040816327,0.25799999999999995
9,8,9,6,6,4,3,1,5,5,5,6,7,6,6,4,5,4,3,5,6,6,4,4,6,4,4,5,6,5,7,6,6,4,6,6,7,5,4,2,5,5,5,4,6,6,6,6,7,7,0.1949134376720323,0.5876827274420947,0.8571428571428578,0.23999999999999996
10,10,7,7,1,5,4,1,0,1,4,1,1,5,9,6,0,1,6,9,6,6,6,6,9,9,10,5,7,10,6,5,5,7,9,7,4,5,6,5,6,5,7,5,4,6,5,6,5,6,0.2145518516952802,0.5816542809333043,0.5510204081632656,0.4160000000000001
