0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,10-p upstream_flooding,10-p water_demand
4,7,5,4,5,5,6,5,5,6,6,6,4,5,10,9,6,6,7,6,4,7,5,10,7,4,7,4,5,6,7,4,7,7,7,6,5,6,10,8,6,2,7,6,10,5,9,5,5,9,6,3,6,7,7,6,10,5,5,6,5,5,5,4,6,6,6,6,5,7,5,5,6,4,6,9,4,6,6,5,4,5,6,6,2,5,5,5,6,5,7,10,6,5,6,7,7,5,6,9,-6.243821578388404,-10.21069699086693
4,7,6,5,5,6,7,6,10,9,9,6,4,9,6,6,5,6,7,6,6,7,5,5,6,6,6,7,6,9,6,5,7,5,4,6,6,6,5,6,6,5,6,6,5,6,9,9,6,6,6,3,7,5,6,5,5,5,5,8,5,7,5,5,6,8,6,5,5,8,5,7,6,4,9,5,5,4,6,4,7,5,5,5,5,5,4,5,5,5,7,5,5,5,6,7,7,10,6,4,-4.421266861470332,-10.392178250254984
7,8,5,5,6,5,7,7,9,9,6,6,4,6,4,9,5,10,6,6,6,8,5,9,7,8,6,4,9,6,4,5,8,6,7,6,7,5,5,9,7,7,6,6,10,4,6,6,6,10,6,4,5,5,5,7,10,5,5,6,4,4,5,5,5,6,6,5,7,7,5,5,8,4,5,5,5,4,5,5,7,6,5,6,5,5,5,4,5,6,5,10,5,5,6,6,6,6,7,6,-4.674668264204144,-10.34365377971056
10,8,10,6,5,5,8,6,6,9,6,6,5,6,9,8,6,7,7,6,7,8,7,6,7,6,6,7,9,6,7,5,7,6,4,6,6,6,5,5,6,5,7,6,6,5,6,9,4,9,6,4,8,6,9,6,10,5,5,7,7,7,5,5,7,9,6,7,5,7,5,4,6,7,7,6,6,4,6,5,8,5,6,5,5,5,5,5,6,6,5,10,6,10,5,5,6,6,7,7,-1.9943799888166522,-11.12759443128809
4,7,5,5,6,5,6,6,5,6,6,6,4,5,5,9,6,9,6,6,7,8,6,5,7,8,7,4,10,6,7,5,8,7,7,6,4,5,5,9,7,6,7,6,10,5,6,5,6,10,6,4,5,5,5,6,10,5,5,6,4,7,5,5,6,6,6,5,7,8,5,5,8,4,6,5,6,4,5,5,7,5,5,6,5,5,5,5,6,6,5,9,5,5,9,6,7,6,7,6,-4.741416426528695,-10.268892049561346
5,8,9,6,5,5,8,7,6,7,6,6,5,9,10,8,6,5,4,6,6,7,5,5,7,7,7,7,6,6,4,5,7,7,4,6,7,6,5,5,6,7,6,6,7,6,9,6,7,5,6,4,5,6,6,7,10,5,6,6,7,7,5,5,7,6,5,5,5,7,5,4,7,4,5,5,5,5,5,5,7,5,5,5,5,5,5,7,6,6,6,5,5,10,9,7,6,9,7,6,-3.1550272042328746,-10.520240776556154
10,8,10,6,5,5,8,6,6,9,6,6,5,6,9,6,9,6,7,6,6,8,5,6,7,6,6,6,9,6,7,5,7,6,4,6,6,5,5,5,6,6,7,6,7,5,9,9,4,6,6,4,9,6,6,6,5,5,5,7,7,7,5,5,6,9,6,7,5,7,5,7,8,7,7,6,5,4,6,5,7,5,6,5,6,5,5,5,6,6,5,10,9,10,6,5,6,6,6,7,-2.5190289589784944,-10.666407788502374
10,8,9,6,5,6,8,7,6,9,7,6,5,6,9,6,9,9,7,6,6,7,5,6,7,6,5,6,9,7,7,6,7,5,7,6,6,5,10,5,6,7,5,6,8,5,9,9,7,5,6,4,9,6,6,7,6,5,10,7,7,4,5,5,6,9,5,6,5,7,5,7,8,4,6,6,5,5,6,5,7,5,6,5,6,5,5,5,5,5,10,10,6,10,6,5,6,9,6,7,-2.3429234609524867,-10.74601186111175
10,8,10,6,5,6,7,6,6,9,7,6,5,6,6,6,6,9,7,6,6,7,5,6,6,6,6,6,6,9,7,5,7,5,4,6,6,6,10,6,6,6,4,6,4,6,9,7,6,9,6,3,8,5,6,6,6,5,9,8,7,4,10,5,6,8,6,6,5,8,5,7,8,4,6,6,5,4,6,5,7,5,5,6,5,5,5,5,5,5,5,10,5,10,6,5,6,9,6,7,-2.4178091592271445,-10.6968981446532
10,8,10,6,5,6,8,6,6,9,7,6,5,6,4,6,9,9,7,6,6,7,5,6,7,6,5,6,9,7,7,6,7,5,4,6,6,5,10,5,6,6,5,6,8,5,9,9,7,5,6,4,9,6,6,7,6,5,10,7,7,7,5,5,6,9,5,6,5,7,5,7,8,4,6,6,5,5,5,5,7,5,6,5,6,5,5,5,5,5,5,10,6,10,6,5,6,9,6,7,-1.987319577371153,-11.157207843686862
