0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,10-p upstream_flooding,10-p water_demand
10,10,9,7,6,5,6,4,5,7,9,6,5,5,4,6,5,5,7,9,5,10,5,6,6,5,5,6,6,5,5,4,5,6,5,6,6,10,5,6,4,7,5,5,9,6,4,6,5,6,6,6,4,5,5,6,6,5,6,6,5,5,5,4,6,5,6,7,4,6,6,6,4,5,6,6,5,7,6,5,6,6,9,4,4,5,6,5,5,6,6,7,6,7,6,5,6,6,5,6,-2.0314894525506473,-10.78420490342331
10,10,10,7,7,6,6,5,5,7,7,6,5,5,7,7,6,5,7,6,5,10,5,5,6,5,5,5,6,5,5,4,5,9,4,5,6,10,5,6,5,7,6,5,6,6,4,6,5,5,6,6,6,6,5,6,6,5,5,5,4,6,6,5,4,5,6,5,5,5,5,8,6,5,6,6,5,7,9,5,6,5,9,4,5,5,6,5,4,6,5,7,6,7,7,6,5,5,5,5,-1.9569299511312759,-10.816621468313045
5,5,9,6,7,5,6,4,5,7,10,6,4,5,4,6,5,5,7,9,5,10,5,6,6,6,5,5,6,5,5,4,5,6,5,6,5,10,5,6,4,7,5,6,10,7,4,6,5,6,6,6,4,5,5,6,6,5,6,6,6,6,6,4,6,5,5,6,4,6,5,6,5,5,6,6,5,7,6,5,6,6,10,7,4,5,7,5,4,6,6,4,6,7,7,5,6,6,5,6,-4.10178478144603,-10.346383938315599
5,5,5,6,4,5,7,5,5,7,6,6,5,5,7,6,7,10,7,9,10,10,5,6,6,6,5,5,6,5,5,4,5,6,4,5,10,9,5,6,5,7,6,6,9,6,4,6,5,5,6,6,5,5,5,7,6,5,5,6,9,6,6,5,5,5,6,5,4,5,5,8,6,5,6,6,5,6,6,5,6,4,9,4,5,5,7,5,4,5,6,7,6,7,7,5,6,6,10,6,-6.665695400459232,-10.209499982361525
10,10,10,7,7,6,6,5,5,7,8,6,5,5,7,7,6,5,7,6,10,10,5,5,6,10,4,4,6,4,5,5,6,9,6,5,6,5,5,6,5,7,6,5,10,6,4,10,5,5,6,6,9,5,5,7,6,5,5,6,4,6,6,5,7,5,6,5,5,6,5,9,6,5,6,6,5,7,9,5,6,5,6,4,5,5,6,5,5,6,5,7,6,7,7,6,5,5,5,6,-2.3229256399598572,-10.48705965347717
5,5,5,6,4,5,6,5,5,7,9,6,5,5,7,7,7,10,7,6,10,10,5,6,6,5,5,5,6,5,5,5,5,6,4,5,10,10,5,6,5,7,6,6,9,6,4,6,5,5,6,6,6,5,5,7,6,5,5,6,9,6,6,5,5,5,6,5,4,6,5,9,6,5,6,6,5,7,9,5,6,4,6,4,5,5,7,5,4,6,5,7,6,7,7,6,6,5,5,6,-6.2446811181728705,-10.215023610642396
5,5,5,6,4,5,6,5,5,7,7,6,5,5,7,7,7,5,7,9,10,10,5,5,6,6,5,5,6,5,5,5,6,6,4,5,5,10,5,6,5,7,6,5,9,6,4,5,5,5,6,6,10,5,5,7,6,5,5,6,10,6,6,5,5,5,6,5,5,6,5,8,6,5,6,6,5,7,9,5,6,5,6,4,5,5,7,5,4,6,6,7,6,7,7,6,6,5,5,6,-6.871969028833745,-10.134067630249316
10,10,10,7,7,6,6,4,5,7,8,6,5,5,7,7,6,5,7,6,10,10,5,10,6,10,4,5,6,5,5,4,6,9,4,5,6,10,5,6,5,7,6,5,10,6,4,10,5,5,6,6,9,5,5,7,6,5,5,6,5,6,6,5,7,5,6,5,5,6,5,9,9,5,6,6,5,7,9,5,6,5,6,4,5,5,6,5,4,6,5,7,6,7,7,6,5,5,5,6,-2.0852236088716647,-10.499783087936896
10,10,10,7,7,6,6,10,5,7,8,6,5,5,7,7,6,5,7,6,10,10,5,5,6,10,4,5,6,5,5,5,6,9,6,5,6,5,5,6,5,7,6,5,10,6,4,10,5,5,6,6,9,5,5,7,6,5,5,6,4,6,6,5,7,5,6,5,5,6,5,9,6,5,6,6,5,7,9,5,6,5,6,4,5,5,6,5,5,6,5,7,6,7,7,6,5,5,5,9,-1.8056008532758527,-11.225921594192588
10,10,10,7,7,6,6,5,5,7,8,6,5,5,7,7,6,5,7,6,10,10,5,10,6,10,4,5,6,5,5,5,6,9,6,5,6,5,5,6,5,7,6,5,10,6,4,10,5,6,6,6,9,5,5,7,6,5,5,6,4,6,6,5,7,5,6,5,5,6,5,9,6,5,6,6,5,7,9,5,6,5,6,4,5,5,6,5,5,6,5,7,6,7,7,6,5,5,5,6,-1.9211604820692534,-10.851208082469272
