0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg_pollution,utility,inertia,reliability
9,7,6,6,4,1,3,2,3,3,2,2,3,3,3,3,2,3,1,2,2,2,3,1,4,6,6,2,3,2,1,2,2,1,2,2,2,6,4,3,2,2,2,2,2,3,3,2,2,1,3,2,3,2,2,2,3,4,1,0,1,2,3,3,3,2,2,1,0,1,3,1,0,7,9,9,9,9,9,9,8,9,9,7,9,9,8,8,8,8,7,8,9,7,7,8,9,7,9,9,0.5437130722243309,0.6092519163365633,0.9393939393939377,0.7900000000000005
10,9,7,6,2,2,2,2,3,3,1,3,2,3,3,3,2,3,2,3,2,2,2,1,2,3,1,2,2,2,1,2,3,2,2,2,3,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,9,9,10,9,10,10,10,10,10,10,9,9,10,9,8,9,10,10,10,9,9,7,9,10,9,8,8,7,9,8,9,7,9,9,7,9,7,9,8,9,10,1.3053728265054547,0.9569507482344913,0.9797979797979779,0.4200000000000002
8,7,6,6,4,1,3,3,2,3,1,3,3,3,3,3,2,2,2,3,2,2,3,1,1,6,6,2,3,2,3,3,3,1,2,2,2,5,4,2,1,3,2,2,1,3,3,2,2,2,3,2,2,1,2,2,2,2,1,1,3,3,3,1,2,2,2,1,3,1,0,1,1,0,6,0,1,1,0,0,0,1,9,7,9,8,9,7,9,9,7,9,9,8,7,9,9,8,7,9,0.3352153998825676,0.5450555050835305,0.9191919191919176,0.8800000000000006
9,9,7,6,1,2,2,3,2,2,2,2,3,4,3,2,1,2,2,3,4,5,5,6,7,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,9,10,9,8,9,10,10,9,10,9,8,9,9,10,9,8,7,8,9,9,7,7,9,7,9,7,9,9,9,9,1.6257318673139969,1.211215857620607,0.989898989898988,0.2700000000000001
9,7,6,6,4,1,3,2,3,3,2,3,3,3,3,3,2,2,2,3,2,2,2,1,0,6,6,2,3,2,2,3,2,1,2,3,2,5,4,3,1,2,2,2,1,3,3,2,2,2,3,1,3,1,2,1,4,4,2,1,2,3,3,1,3,1,2,1,3,3,1,1,1,0,1,1,1,1,1,1,0,0,9,7,6,1,6,7,9,9,7,7,8,8,8,8,9,8,8,9,0.2917017476337007,0.5383699545446676,0.9090909090909075,0.9100000000000006
9,7,6,6,4,1,3,3,3,3,2,3,3,3,3,3,2,3,2,2,2,2,3,1,1,6,6,2,3,2,3,3,3,1,2,3,2,5,4,3,1,3,2,3,2,3,3,2,2,2,3,3,2,2,2,2,7,3,1,1,3,2,3,2,2,2,2,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,9,7,8,7,9,9,9,9,9,9,9,9,7,9,9,8,9,9,0.4257990110909148,0.5696527150510111,0.9292929292929276,0.8800000000000006
10,9,7,6,2,2,2,2,3,2,1,3,3,4,3,3,2,2,2,3,3,1,2,2,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,9,9,9,10,10,10,10,9,9,10,10,9,9,7,9,9,9,8,7,9,7,9,8,9,9,9,9,1.6174512776975312,1.2112473575467078,0.9797979797979779,0.2800000000000001
10,9,7,6,2,2,2,3,3,2,1,2,3,3,3,3,2,3,2,3,3,3,2,2,3,3,2,1,3,2,2,3,4,4,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,9,9,10,10,10,9,8,8,9,9,8,8,9,7,9,8,8,8,9,9,1.3966793655347494,1.037033303305546,0.9797979797979779,0.38000000000000017
10,9,6,5,2,2,2,3,3,3,1,2,3,3,3,3,2,2,2,3,2,3,2,1,3,3,1,2,2,2,1,3,3,3,3,2,2,3,2,3,2,2,3,3,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,9,9,9,9,9,9,9,8,9,7,9,8,9,9,9,10,1.1457755526387323,0.8759479269960568,0.9696969696969678,0.5000000000000002
10,9,6,5,2,2,3,3,3,3,2,3,3,3,4,3,1,3,2,2,2,3,2,2,3,3,1,2,2,2,3,2,3,2,3,2,2,3,3,3,2,2,3,2,2,2,3,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,9,9,9,9,9,10,9,8,9,7,9,9,9,9,9,10,1.0942359539795077,0.8520807143375716,0.9696969696969678,0.5300000000000002
10,9,6,5,3,1,3,3,2,3,2,3,3,2,3,3,2,2,2,3,2,2,2,1,2,6,5,1,3,2,3,3,2,1,3,3,1,6,4,3,1,2,2,3,2,3,3,2,3,3,2,2,3,2,3,3,3,2,2,2,2,3,2,3,3,3,1,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,9,9,9,8,9,9,9,9,10,0.71261803860167,0.6908714971797999,0.9393939393939377,0.7200000000000004
10,9,6,4,3,3,2,3,2,3,2,2,2,3,3,3,2,3,2,3,3,2,2,1,3,5,6,2,2,2,1,3,4,3,3,2,3,4,3,1,2,2,2,2,2,3,3,2,2,3,3,4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,9,9,10,9,10,9,9,9,8,9,9,9,9,9,10,1.0431291837460301,0.8310249445813909,0.9595959595959578,0.5600000000000003
10,9,6,5,3,1,3,3,3,3,2,2,3,3,3,3,2,2,2,3,2,3,2,2,3,4,5,1,2,2,2,2,2,2,3,3,2,5,4,3,1,3,2,3,2,3,3,2,2,3,3,2,3,2,1,2,2,3,2,2,2,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,9,10,10,9,9,9,9,9,9,9,9,9,10,10,0.84242702574891,0.7415710658235943,0.9393939393939377,0.6600000000000004
10,9,6,5,3,1,3,3,2,3,2,2,3,3,3,3,2,3,2,3,2,2,2,2,3,4,5,1,3,2,3,3,3,1,3,3,2,3,4,3,2,3,2,2,2,3,3,2,2,2,3,2,3,2,2,2,3,3,2,6,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,9,9,9,9,9,9,10,9,8,9,9,9,9,10,10,0.8899552414539776,0.7604044427360088,0.9494949494949477,0.6300000000000003
10,9,6,5,3,1,3,3,2,3,2,2,3,3,2,3,2,2,3,3,3,3,3,1,2,6,5,1,2,2,2,3,3,1,3,2,2,6,4,3,1,2,3,3,2,3,2,2,2,3,3,2,3,2,2,2,3,2,2,3,2,3,3,1,2,3,2,2,3,2,2,3,2,1,6,3,2,3,1,2,1,10,10,9,9,10,9,10,10,9,8,8,9,9,8,9,9,8,9,10,0.43587729016573257,0.6008949551005751,0.9191919191919176,0.8500000000000005
10,9,6,5,3,2,2,3,2,3,1,2,3,4,3,2,2,2,2,3,3,3,2,2,3,3,2,2,2,3,2,2,3,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,9,9,9,9,8,9,8,9,9,9,10,1.319600759352304,0.9907764003842737,0.9696969696969678,0.4200000000000002
10,7,6,6,4,1,3,3,2,3,1,3,3,3,3,3,2,3,2,3,2,2,2,1,1,6,5,1,3,2,2,3,2,1,2,3,2,5,4,3,1,3,2,2,2,2,2,3,2,2,3,2,2,2,2,6,4,5,1,1,3,3,3,3,2,1,2,1,1,1,3,1,1,1,1,3,1,1,1,1,0,0,9,0,1,0,1,4,5,1,4,4,9,8,7,9,9,8,9,9,0.222836075591112,0.5265826558390699,0.8686868686868673,0.9700000000000006
10,9,6,4,3,2,3,3,3,2,1,2,3,3,4,3,2,2,2,3,3,2,2,2,3,4,5,1,2,3,2,3,3,1,3,2,3,3,4,3,2,2,2,3,2,3,2,2,2,3,3,2,2,4,1,5,3,2,2,4,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,8,9,10,10,9,8,9,9,9,8,10,10,0.839931170458132,0.7407402790664748,0.8888888888888874,0.6500000000000004
10,9,7,6,1,2,2,3,2,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,2,3,4,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,10,10,9,9,9,10,10,9,9,8,9,9,9,8,7,9,8,9,8,9,9,9,10,1.5663317634432492,1.170781502004855,0.9797979797979779,0.3000000000000001
10,9,6,6,2,2,2,3,2,3,1,2,3,3,3,3,2,2,2,3,3,3,1,2,2,3,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,9,10,10,10,10,9,8,9,9,9,8,8,9,7,9,8,9,9,9,10,1.5292951880842416,1.1417305196685674,0.9696969696969678,0.3200000000000001
10,9,6,4,3,2,3,3,2,3,2,2,3,3,3,3,3,2,2,3,2,3,2,2,2,5,6,1,3,1,2,3,3,2,2,2,3,4,4,3,1,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,9,10,0.9515283970753288,0.7862075851924678,0.9595959595959578,0.6000000000000003
