0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg_pollution,utility,inertia,reliability
5,6,5,5,6,4,3,2,2,1,2,2,3,1,3,4,5,5,4,6,6,6,6,7,9,9,7,9,8,9,10,10,9,8,9,10,10,10,10,10,9,10,9,9,10,10,9,9,9,9,9,10,9,9,9,8,8,9,9,9,9,8,9,8,8,8,9,9,9,9,7,7,9,9,7,9,8,8,8,9,7,9,8,7,8,7,7,7,7,9,7,7,8,7,9,7,7,7,7,9,1.6536089865052952,1.1594876341475655,0.999999999999998,0.24000000000000007
10,9,4,5,4,3,3,2,2,2,2,3,2,1,3,4,4,4,4,6,6,5,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9,10,10,9,10,10,9,8,8,9,9,8,9,8,8,9,9,7,9,9,8,8,9,8,8,8,9,7,9,9,7,9,8,7,9,7,9,1.6904228498283047,1.2607947383667995,0.9797979797979779,0.24000000000000007
10,6,5,5,4,3,3,3,2,2,2,3,2,1,3,3,4,4,4,5,6,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9,10,10,9,10,10,10,9,8,9,9,8,9,8,9,10,9,8,9,9,8,9,9,8,8,8,9,7,9,9,8,9,8,7,9,8,9,1.6706803915665127,1.2465853951338839,0.9797979797979779,0.25000000000000006
10,9,4,5,4,3,3,2,2,2,2,3,2,1,3,4,4,3,4,5,6,5,5,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,10,9,9,8,9,9,8,9,8,9,9,9,7,9,9,8,9,9,8,8,8,9,7,9,9,7,9,8,7,9,7,9,1.6745895541640912,1.2504507965972425,0.9797979797979779,0.24000000000000007
10,9,5,4,4,3,2,2,3,1,2,2,2,2,3,4,4,3,3,2,1,3,1,3,2,3,3,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,9,9,9,10,9,9,8,9,9,9,9,9,9,9,8,9,8,9,8,9,7,9,9,7,9,8,9,9,8,9,1.5447776912495963,1.1440375498647533,0.9797979797979779,0.3100000000000001
10,9,5,4,4,3,2,3,2,2,2,3,2,2,3,3,4,3,3,2,2,3,2,2,3,2,2,3,2,3,3,3,2,3,3,3,3,2,3,2,3,2,2,3,3,3,1,1,2,2,3,4,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,10,9,10,10,10,10,10,10,9,9,8,9,9,9,8,9,9,9,9,8,8,9,9,9,1.0234540408839858,0.8171809513065302,0.9797979797979779,0.5600000000000003
10,9,4,4,4,3,3,3,2,2,2,2,3,2,3,4,4,3,3,2,2,3,2,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,3,2,2,2,2,3,3,4,3,3,2,2,2,3,2,2,2,1,2,2,2,3,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,0.8447862143179914,0.74062027822736,0.9696969696969678,0.6500000000000004
10,9,5,4,5,2,3,2,2,2,2,3,3,2,3,4,4,3,3,1,2,3,3,2,3,3,2,2,2,3,3,2,1,2,3,3,3,3,2,2,3,4,3,2,3,2,2,2,2,2,3,1,3,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,9,8,9,9,9,9,9,9,10,9,10,0.9778233890448038,0.8005336167792066,0.9696969696969678,0.5900000000000003
10,9,5,4,5,2,2,2,2,2,2,3,2,2,3,4,4,3,2,2,1,3,4,3,2,3,2,2,3,3,2,2,3,4,3,2,2,3,4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,9,9,9,10,9,8,9,9,9,9,10,10,9,9,10,1.3053038705513742,0.9827435369334583,0.9696969696969678,0.4300000000000002
10,9,5,4,5,2,2,2,3,2,3,3,2,2,3,4,3,3,2,2,2,3,3,3,2,2,3,3,2,2,3,2,3,3,3,2,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9,8,9,9,9,8,9,9,9,9,10,9,10,9,10,1.3323632162647576,1.0002736317136567,0.9696969696969678,0.4200000000000002
