b,delta,mean,q,stdev
0.39415221605139106,0.9884446579962942,0.02246172502836341,2.288249879187122,0.0019890993011706585
0.35840426401688374,0.9807871840478143,0.01968129822484773,2.4120402167369446,0.00106999293230793
0.3701535232541075,0.9732339408393861,0.01158645961159907,2.0696887808661653,0.0010566892986600272
0.4058851499679074,0.9771407337970588,0.02372203760549285,2.7483237147291817,0.0014765702828731166
0.4074296550835097,0.982980306952003,0.011083196679100672,2.0177282172167414,0.0014116580200825984
0.3751438527491457,0.977801493685102,0.014225590721022993,2.1285404178709797,0.001728608113299856
0.419281038626802,0.97995661512822,0.013651628627629158,2.576233367282295,0.0011541041550261434
0.405552124344315,0.9842054510932078,0.015600356757830544,2.5567571042012434,0.001035489754016795
0.4208351446483366,0.9890756764039413,0.011109697593910022,2.4032013054231056,0.0012808869236802768
0.39068196202948324,0.9792428014132288,0.019418386566292075,2.3937596124157285,0.001329625596663623
0.4064524928712066,0.9853135888407127,0.02283459164269967,2.7005624734616767,0.0011931698864559746
0.3598628890398343,0.9843818173158988,0.01491115726851629,2.2229660387906254,0.0014544664070001516
0.36007683530163814,0.9865389799653728,0.01810623153240013,2.691318093719885,0.001709611674506841
0.3663838916278718,0.9884034644682098,0.013957612421352593,2.5340667459173543,0.0016636894037302765
0.389573923621933,0.9837901474183876,0.01983691626881389,2.3344002326997764,0.001844013488696654
0.4179804175551698,0.9727810139322505,0.015738596228344823,2.53703439870032,0.0013842454062876174
0.4270361484736187,0.978323610920953,0.02062629682006325,2.3023528964041464,0.0015812492285838472
0.39892151718984736,0.9864651667761413,0.021615637294073974,2.1039910840954934,0.0011258314358165886
0.385391111159845,0.9731535341272773,0.011457110032712419,2.0756459943729717,0.001462623813280689
0.4053861994174657,0.9718979550778304,0.01643401219218638,2.1045081573694984,0.001276800529116894
0.41643554005058925,0.976901255718578,0.012972050604391537,2.0913247208327688,0.0017537275798470348
0.4220553714446857,0.9793367997287071,0.017597146461483172,2.436587107721683,0.0019619184613877956
0.4081705300865931,0.9800501404517864,0.011935415203750872,2.4857098393083437,0.0017654701573763284
0.4082629889984764,0.9765792336340918,0.014170187913321176,2.624675221058693,0.0011143008720748706
0.43732994177146367,0.9785029150268225,0.017340564658632217,2.7572835895398446,0.0016825365893032979
0.38991245784664647,0.9812940540110149,0.020066786940204168,2.5493502300075837,0.001911602167379609
0.3606333597382484,0.9824752123204836,0.017951214799392604,2.170263771088174,0.0019547465866237576
0.35509026690860157,0.9884297142259598,0.021548162019741447,2.082331449818391,0.0018673759539923939
